date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,Target
2016-10-26,2139.429931640625,2220.932555292114,-35.67526350464708,1.9617782240769537,-4.6203613608915886,-0.0334337843077591,-3.2598586827540124,0.427536780049588,2133.0400390625
2016-10-27,2133.0400390625,2222.5319820965597,-36.28373933541637,1.9733390998932503,-4.802176814431493,-0.03825185235951678,-3.340523552069053,0.43917471729500457,2126.409912109375
2016-10-28,2126.409912109375,2224.156054592878,-36.86458716662426,1.979885232303262,-4.9891108869902405,-0.04364383556144724,-3.4219757222080793,0.45117068369839686,2126.14990234375
2016-10-31,2126.14990234375,2225.804772781069,-37.41780699827072,1.9814166213069893,-5.181163578567831,-0.04960973391355045,-3.5042151931710928,0.4635246792597648,2111.719970703125
2016-11-01,2111.719970703125,2227.446887176026,-37.97842973008815,1.9842917067566799,-5.3718447403129606,-0.05542185216464089,-3.586243707514119,0.4757827411973865,2097.93994140625
2016-11-02,2097.93994140625,2227.807899724614,-30.087139005478043,1.3226365435740752,-3.427080974519024,-0.04694634761879054,-2.727239195675738,0.24590819834917088,2088.659912109375
2016-11-03,2088.659912109375,2228.5121824783578,-24.460531666015434,0.8390417238585473,-2.0545079525403174,-0.04229920006314098,-2.1203837232536804,0.08091289141456459,2085.179931640625
2016-11-04,2085.179931640625,2229.5597354372594,-21.098607711700325,0.533507247610096,-1.254125674376841,-0.04148040949769219,-1.7656772902479467,-0.019203179606432426,2131.52001953125
2016-11-07,2131.52001953125,2230.515309421903,-17.129863673222765,0.18026164612563336,-0.30042534849151037,-0.03963581376838106,-1.3434077257583255,-0.13670358949602934,2139.56005859375
2016-11-08,2139.56005859375,2231.814153611703,-15.4258030198927,0.005076388108247135,0.08108423357859057,-0.04161957502927072,-1.1732872006850275,-0.18932476347201704,2163.260009765625
2016-11-09,2163.260009765625,2233.021018827246,-13.114922282400181,-0.21781999514515055,0.6159118633705456,-0.042577531126298036,-0.9356035441278427,-0.2593302763166046,2167.47998046875
2016-11-10,2167.47998046875,2234.135905068532,-10.19722146074521,-0.4884275036345597,1.3040575408843549,-0.042509682059463004,-0.6303567560867704,-0.3467201280297921,2164.449951171875
2016-11-11,2164.449951171875,2235.2754370016905,-7.442117590592555,-0.7462508546469995,1.9511217713259772,-0.042716696657876564,-0.34321345456492375,-0.4294518601821892,2164.199951171875
2016-11-14,2164.199951171875,2236.758239140005,-6.951697105587391,-0.8260138621923628,2.0259952579523697,-0.046752068246490905,-0.30821919245939994,-0.4473043564209771,2180.389892578125
2016-11-15,2180.389892578125,2238.1490623040627,-5.854456536419777,-0.9534879949737377,2.254186792300617,-0.049761634671242894,-0.20566179886998912,-0.4825411915283649,2176.93994140625
2016-11-16,2176.93994140625,2239.4479064938632,-4.15039588308971,-1.128673252991124,2.6356963743707174,-0.05174539593213255,-0.03554127379669119,-0.5351623655043526,2187.1201171875
2016-11-17,2187.1201171875,2240.7713963755364,-2.6089321812619586,-1.2910743535315412,2.9761245093686313,-0.0540040208582708,0.11647576475738139,-0.58312541991955,2181.89990234375
2016-11-18,2181.89990234375,2242.002907282952,-0.4606483952717553,-1.501186579307969,3.4698706920883993,-0.05523684062054669,0.33605593479534107,-0.6484728132033473,2198.179931640625
2016-11-21,2198.179931640625,2243.2590638822403,1.5250384392161331,-1.6985146476074278,3.9225354277359803,-0.05674452404807119,0.5375326183140755,-0.7091620869263542,2202.93994140625
2016-11-22,2202.93994140625,2244.539866173402,3.3481283222017066,-1.883058558429917,4.334118716311374,-0.05852707114084428,0.7209058153135847,-0.7651932410885709,2204.719970703125
2016-11-23,2204.719970703125,2245.814064671329,5.214785927034088,-2.0710279739242727,4.756709745453663,-0.060235968736485346,0.9091298269061078,-0.822472534625349,2213.35009765625
2016-11-25,2213.35009765625,2247.4315333744134,4.816760146718975,-2.080937045951552,4.607110030780721,-0.06577322332232718,0.845204799082308,-0.8148725922485174,2201.719970703125
2016-11-28,2201.719970703125,2248.95702310324,5.025554450566315,-2.138557243214843,4.610828363829633,-0.07028467274430669,0.8488429027423952,-0.824656988740286,2204.659912109375
2016-11-29,2204.659912109375,2250.3905338578093,5.841168838576106,-2.243888565714145,4.767864744600399,-0.07377031700242385,0.9200441378863693,-0.8518257241006546,2198.81005859375
2016-11-30,2198.81005859375,2251.8486903042517,6.494186275083583,-2.336435730736478,4.883819678298979,-0.07753082492578961,0.9731418865111185,-0.8743363399002326,2191.080078125
2016-12-01,2191.080078125,2253.214867776436,7.754023795753512,-2.476694020994822,5.153092659719412,-0.080265527685293,1.0938027666197545,-0.914231294568411,2191.949951171875
2016-12-02,2191.949951171875,2254.6056909404947,8.851264364921127,-2.604168153776197,5.38128419406766,-0.083275094110045,1.1963601602091658,-0.949468129675799,2204.7099609375
2016-12-05,2204.7099609375,2256.021159796425,9.785907982586426,-2.718858129080602,5.568394281343719,-0.08655952420004559,1.280814067279351,-0.9800468452223963,2212.22998046875
2016-12-06,2212.22998046875,2257.4300248591217,10.764119322098534,-2.836973609056874,5.766512109186672,-0.08977030479291415,1.3701187889425508,-1.0118737001435552,2241.35009765625
2016-12-07,2241.35009765625,2258.74691094756,12.349150745773091,-3.0028002142691568,6.1179479847514795,-0.09195528022192036,1.5269866420896374,-1.0610848939333137,2246.18994140625
2016-12-08,2246.18994140625,2260.0884427278725,13.771585217945335,-3.1558426620044706,6.428302413244101,-0.09441511931617516,1.665751008717499,-1.105637968162282,2259.530029296875
2016-12-09,2259.530029296875,2261.454620200057,15.031422738615264,-3.2961009522628144,6.697575394664534,-0.0971498220756786,1.786411888826135,-1.14553292283046,2256.9599609375
2016-12-12,2256.9599609375,2262.8141938790072,16.334827981132,-3.439784747193025,6.977856116651863,-0.09981087533804998,1.9119235835277852,-1.1866760168731998,2271.719970703125
2016-12-13,2271.719970703125,2264.198413249831,17.47563627214642,-3.570684384646267,7.217055391567004,-0.10274679226566995,2.0193317917102105,-1.2231609913551489,2253.280029296875
2016-12-14,2253.280029296875,2265.57602882742,18.66001228500765,-3.7050095267713745,7.46726240704904,-0.10560905969615791,2.13159081448565,-1.2608941052116593,2262.030029296875
2016-12-15,2262.030029296875,2266.947040611775,19.887956019715688,-3.8427601735683474,7.7284771630979705,-0.10839767762951386,2.248700651854103,-1.2998753584427316,2258.070068359375
2016-12-16,2258.070068359375,2268.3198218771936,21.104225818538804,-3.979592959154826,7.98674240395151,-0.11120602988614928,2.3645107173697255,-1.3385221737363484,2262.530029296875
2016-12-19,2262.530029296875,2272.5818299306966,20.024841200228874,-3.020586163548024,6.089331266703702,0.028604178722645937,1.9344048441062403,-0.9985911643003194,2270.760009765625
2016-12-20,2270.760009765625,2276.0696719995826,19.560575329090685,-2.3552086987560212,4.769531874110999,0.1301998591218601,1.6505767057738954,-0.7600997772729301,2265.179931640625
2016-12-21,2265.179931640625,2278.783348083851,19.711428205124232,-1.9834605647788175,4.027344226173399,0.1935810113114932,1.5130263023726904,-0.6230480126541806,2260.9599609375
2016-12-22,2260.9599609375,2281.7044613185053,19.69746050960387,-1.5330346887356976,3.130385977716732,0.26720171547401983,1.3362808980260326,-0.45881558313051823,2263.7900390625
2016-12-23,2263.7900390625,2283.8514085685415,20.29861156125525,-1.3762381435073767,2.8110394739151685,0.30260789142696554,1.305813228610515,-0.39602277601549524,2268.8798828125
2016-12-27,2268.8798828125,2286.205792968964,20.73494204135272,-1.1407638562131395,2.3369223695945385,0.34825361935280474,1.2361505582495445,-0.3060493039955593,2249.919921875
2016-12-28,2249.919921875,2288.7676145197725,21.006451949896274,-0.8266118268529856,1.7080346647548412,0.40413889925153756,1.1272928869431211,-0.1888951670707104,2249.260009765625
2016-12-29,2249.260009765625,2291.2738534536547,21.322125397483738,-0.5335414349416985,1.120617617336308,0.45728049946827704,1.028937484487369,-0.07902406735687392,2238.830078125
2016-12-30,2238.830078125,2293.0059264029196,22.25291759224294,-0.5341003738452103,1.110812314572877,0.47220757147543546,1.0768598169627566,-0.070592590051677,2257.830078125
2017-01-03,2257.830078125,2294.9454365025704,23.018889215448233,-0.4559815706828057,0.9462364112903796,0.49737419545548756,1.0855871484926913,-0.03498044784156712,2270.75
2017-01-04,2270.75,2297.092383752607,23.62004026709962,-0.2991850254544847,0.6268899074888159,0.5327803714084332,1.0551194790771734,0.027812359273455788,2269.0
2017-01-05,2269.0,2299.183748385717,24.265354857794907,-0.16347011767503025,0.3490140611084159,0.5654428676793855,1.0351540785123265,0.0833221291774663,2276.97998046875
2017-01-06,2276.97998046875,2301.482550169214,24.74584887693628,0.05092253217034064,-0.08363238579105092,0.6083449159232313,0.9759936770020272,0.16601256398638978,2268.89990234375
2017-01-09,2268.89990234375,2303.725769335785,25.270506435121554,0.24423354456684504,-0.4748081752693538,0.6485032844850839,0.9273355443423993,0.2414199615843009,2268.89990234375
2017-01-10,2268.89990234375,2305.913405885429,25.839327532350747,0.416462919514483,-0.824513307326493,0.685917973364943,0.889179680533442,0.3095443219711996,2275.320068359375
2017-01-11,2275.320068359375,2308.115935752391,26.39631504495822,0.5943411021916705,-1.1853304685492208,0.724067828999882,0.848209742267253,0.3796201662972349,2270.43994140625
2017-01-12,2270.43994140625,2309.5442996347365,27.568421304737434,0.4785899540540589,-0.9685358851168452,0.7240031564252399,0.9535175389322038,0.34825638821463056,2274.639892578125
