date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,D8,Target
2011-03-21,1298.3800048828125,1249.561668184402,-11.483328180728773,-37.61769507734136,1.391363568451573,0.9989711461234625,-1.123544639597879,-0.15024836744151887,-0.41607159389230747,-0.5803392521663902,1293.77001953125
2011-03-22,1293.77001953125,1249.502145041032,-12.252957003248943,-37.7828046308849,1.4205707594030426,1.026271351299601,-1.107323594736082,-0.15503716716150556,-0.4360734488313639,-0.598430473921769,1297.5400390625
2011-03-23,1297.5400390625,1249.4174636118832,-13.07516966678801,-37.935547474168274,1.4482934438913568,1.0569069487317728,-1.089095688839548,-0.1603726277575347,-0.457050303346048,-0.6175599039370875,1309.6600341796875
2011-03-24,1309.6600341796875,1249.339523325092,-13.88329253258949,-38.09160396747856,1.4764139006875743,1.086648830502439,-1.0714055197366288,-0.16556161101328407,-0.4777659075117797,-0.6364111468875414,1313.800048828125
2011-03-25,1313.800048828125,1249.236424752522,-14.743999239413075,-38.23529375052925,1.5030498510207413,1.11972610452926,-1.0517084895989006,-0.17129725514509686,-0.49945651125322027,-0.6563005980980092,1310.18994140625
2011-03-28,1310.18994140625,1249.1400673223097,-15.590616148498135,-38.382297183606724,1.5300835736617855,1.1519096628945378,-1.03254919625481,-0.1768864219366234,-0.5208858646456852,-0.6759118622435909,1319.43994140625
2011-03-29,1319.43994140625,1249.0504510344545,-16.42314325984704,-38.5326142667114,1.557515068610783,1.1831995055983633,-1.0139276397043029,-0.18232911138787944,-0.5420539676892346,-0.6952449393243416,1328.260009765625
2011-03-30,1328.260009765625,1248.9590284629487,-17.259445721119153,-38.68204345996698,1.5848399807910367,1.2147288186918728,-0.9951619970142528,-0.18781104932415915,-0.5632920725527547,-0.7146525564044187,1325.8299560546875
2011-03-31,1325.8299560546875,1250.1753527596977,-15.362400051320648,-39.47430367738845,1.6893306702889308,1.0728819003663783,-1.0807145203674828,-0.16487713830563466,-0.5338489564137128,-0.6800933168991959,1332.4100341796875
2011-04-01,1332.4100341796875,1251.041267339192,-14.197752805877364,-40.094317841013876,1.77314485207109,0.9774910032365114,-1.1383150753734266,-0.14955723106681929,-0.517985832513751,-0.6599944530340788,1332.8699951171875
2011-04-04,1332.8699951171875,1251.5567722014341,-13.765503984786047,-40.54208595084501,1.8362825261377487,0.9285561273020053,-1.1679636620322464,-0.14185132760767025,-0.515702700852825,-0.6543559648090109,1332.6300048828125
2011-04-05,1332.6300048828125,1252.1661690644326,-13.137009597353254,-41.03600725168872,1.9049604537489258,0.867173398004776,-1.2051019560364555,-0.13210525798461387,-0.5097808212382439,-0.6448428306089641,1335.5400390625
2011-04-06,1335.5400390625,1252.4251562101808,-13.240913634271525,-41.35768249873966,1.9529618736448233,0.8522466899027676,-1.2142882816936256,-0.1299731921412021,-0.5174389338627036,-0.64979007204896,1333.510009765625
2011-04-07,1333.510009765625,1252.7780353566852,-13.148572104847462,-41.725510936803026,2.0065035470852113,0.824872128438004,-1.230964314696204,-0.12580096013387743,-0.5214582985334862,-0.650862667513957,1328.1700439453125
2011-04-08,1328.1700439453125,1253.224806503947,-12.859985009080813,-42.13949256587985,2.0655854740702395,0.7850497136104082,-1.2551300550442375,-0.11958856196262813,-0.5218389152506033,-0.6480606170039582,1324.4599609375
2011-04-11,1324.4599609375,1253.6464193654292,-12.623981754334286,-42.54110748469567,2.1231828945920004,0.7485626910389562,-1.2772889343574672,-0.11392282466743886,-0.5231945315433618,-0.6462967747539186,1314.1600341796875
2011-04-12,1314.1600341796875,1253.7176225096623,-13.120376923940192,-42.77047634972023,2.1601038073987104,0.7585316896626997,-1.2714958453236742,-0.1158710911518916,-0.5381301400752168,-0.6589933081439637,1314.4100341796875
2011-04-13,1314.4100341796875,1253.882717654652,-13.420526527202595,-43.045998405756976,2.202564973749872,0.7560528349236437,-1.273192463635316,-0.11577919147242377,-0.5494270006533648,-0.6678151955589827,1314.52001953125
2011-04-14,1314.52001953125,1254.1417048003984,-13.52443056412234,-43.36767365280674,2.250566393645604,0.7411261268217813,-1.2823787892923975,-0.1136471256290351,-0.5570851132778379,-0.6727624369990007,1319.6800537109375
