date,AdjClose,Approx,D1,D2,D3,D4,D5,Target
2000-01-03,1455.219970703125,1416.1666604666455,13.260642304310908,-0.5021809759045459,6.272892886355197,1.4870630184336127,-0.10195297032320219,1399.4200439453125
2000-01-04,1399.4200439453125,1413.9659394485748,15.092132600623458,-1.3464241522170755,6.315730867946575,1.4344143529075855,-0.13167535803678093,1402.1099853515625
2000-01-05,1402.1099853515625,1411.2741743407926,17.30653588879649,-2.4997033445344012,6.16411145600533,1.3004951466520545,-0.16617343531510798,1403.449951171875
2000-01-06,1403.449951171875,1408.7139841002968,19.418337950029116,-3.57017658593111,6.064596745623412,1.1883523161534346,-0.19939187043125894,1441.469970703125
2000-01-07,1441.469970703125,1407.9863953513607,20.10108927076023,-3.487311714229251,6.690806907812662,1.3795152728159197,-0.21478718945059258,1457.5999755859375
2000-01-10,1457.5999755859375,1406.7677625127133,21.166753583351824,-3.713482858532188,7.1225596764692884,1.4894076887489005,-0.23495819803467458,1438.56005859375
2000-01-11,1438.56005859375,1405.0580855843539,22.615330887803893,-4.2486900188399215,7.359855051593289,1.5180295639523773,-0.2599048961835049,1432.25
2000-01-12,1432.25,1403.479983523281,23.961306965315565,-4.701091228227038,7.649255128276619,1.5684278149127655,-0.28357195217015924,1449.6800537109375
2000-01-13,1449.6800537109375,1401.4108373724966,25.690196034687716,-5.462528453618952,7.744197811427323,1.5375555251436497,-0.3120146977215618,1465.1500244140625
2000-01-14,1465.1500244140625,1399.4732660889986,27.316483877119467,-6.1411597280902495,7.8912451961373575,1.528459611131445,-0.3391778011107884,1455.1400146484375
2000-01-18,1455.1400146484375,1397.6672696727867,28.840170492610817,-6.736985051640929,8.090397282406718,1.5411400728761517,-0.365061262337839,1455.9000244140625
2000-01-19,1455.9000244140625,1395.8260178771413,30.391349024003286,-7.354998162869279,8.275587955971393,1.5479855723227174,-0.39128760264884543,1445.5699462890625
2000-01-20,1445.5699462890625,1395.8173675730557,23.23967263469477,-4.859972446249749,5.989926386999578,0.5666564945327203,-0.17981395323681804,1441.3599853515625
2000-01-21,1441.3599853515625,1395.3176731792587,18.41991919323331,-3.1990829695587877,4.366327681032044,-0.14989200330577374,-0.032031824111963716,1401.530029296875
2000-01-24,1401.530029296875,1394.32693469575,15.932088699618896,-2.372329732796394,3.4047918380687916,-0.6016599211927648,0.0520587847257175,1410.030029296875
2000-01-25,1410.030029296875,1393.4677710795277,12.819421335317266,-1.3220703641676073,2.2658567856249054,-1.1243755816492054,0.1532154849890572,1404.0899658203125
2000-01-26,1404.0899658203125,1392.1175633735938,12.038676918862684,-1.10594723546739,1.7889845961852986,-1.382310662154143,0.19068066496522385,1398.56005859375
2000-01-27,1398.56005859375,1390.8989305349464,10.633095631720884,-0.6663179749007793,1.1347131972650586,-1.7111934852285302,0.24521193636704897,1360.1600341796875
2000-01-28,1360.1600341796875,1389.811872563585,8.602677473891863,-0.003182582467775197,0.3030425888641841,-2.1110240508723663,0.31680929919453266,1394.4599609375
2000-01-31,1394.4599609375,1388.6895592127903,6.739683850964674,0.6000645224282247,-0.48109404461843464,-2.491844226189908,0.3838338166065554,1409.280029296875
2000-02-01,1409.280029296875,1387.0762017722836,7.208613175884533,0.36917538739565703,-0.6031678150967729,-2.607883821555946,0.38716681373140505,1409.1199951171875
2000-02-02,1409.1199951171875,1385.5944191990636,7.052705630117175,0.36179238422948223,-0.9026407950557451,-2.7948711594914335,0.4075659022819132,1424.969970703125
2000-02-03,1424.969970703125,1384.2442114931296,6.271961213662594,0.5779155129297002,-1.3795129844953513,-3.0528062399963716,0.44503108225807986,1424.3699951171875
2000-02-04,1424.3699951171875,1382.858748407762,5.658641332109845,0.7341503540929144,-1.808851199016702,-3.2917309301750137,0.47792341681878564,1424.239990234375
2000-02-07,1424.239990234375,1381.6048601896812,4.420484579869875,1.1138913271225213,-2.415588623018687,-3.601603362923105,0.5278818428051499,1441.719970703125
2000-02-08,1441.719970703125,1380.3157165921666,3.349752362531735,1.4337440126151244,-2.974792072102416,-3.8924654053449013,0.5732674233760533,1411.7099609375
2000-02-09,1411.7099609375,1378.991317615218,2.446444680095426,1.6937084105707234,-3.4864615462678903,-4.164317057440403,0.6140801585314957,1416.8299560546875
2000-02-10,1416.8299560546875,1377.6763652887178,1.4982757287390156,1.9697198268079457,-4.010867710625753,-4.441262528271635,0.6561181839231233,1387.1199951171875
2000-02-11,1387.1199951171875,1392.397670331683,-9.786542986766273,0.5969498717558467,-4.1749837721123,-1.802459995401049,0.41161251358358275,1389.93994140625
2000-02-14,1389.93994140625,1402.8220731628824,-18.301664745524512,-0.3340304463637995,-4.435639275704143,0.05507021454497685,0.24388599511143805,1402.050048828125
2000-02-15,1402.050048828125,1408.9495737823154,-24.047089547535705,-0.8232211275509931,-4.79283422140128,1.1313281015664418,0.1529386285066892,1387.6700439453125
2000-02-16,1387.6700439453125,1416.228425879347,-30.53465241238621,-1.4307889851786764,-5.124161501548552,2.41692727658433,0.04141835016352513,1388.260009765625
2000-02-17,1388.260009765625,1419.2103757646125,-34.252518320489656,-1.5965672058739069,-5.55202822380112,2.921254128677658,0.006677223687756882,1346.0899658203125
2000-02-18,1346.0899658203125,1423.3436771274764,-38.71252229143243,-1.8807226030096271,-5.954027280503823,3.6349222687674096,-0.048636814526426604,1352.1700439453125
2000-02-22,1352.1700439453125,1428.6283299679383,-43.91466432521451,-2.2832551765858367,-6.33015867165666,4.557931696853585,-0.12452376447902534,1360.68994140625
