date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Target
2000-01-03,1455.219970703125,1353.8464645028782,14.826218747284944,2.4943503879279274,-44.004014732417644,-6.363320912528238,1.0602827875439942,-2.7888713607973674,0.4429112055820874,-0.7903082806041413,-0.17025341297456648,0.05547249102554774,1399.4200439453125
2000-01-04,1399.4200439453125,1352.4624210999941,14.98650244006279,2.675665107640414,-43.713782915530764,-6.3532489725062575,0.9790967835065721,-2.6875566412061507,0.47352596871386016,-0.7787700011432996,-0.1645651927704535,0.05731619099556841,1402.1099853515625
2000-01-05,1402.1099853515625,1351.0326399287633,15.151113856712868,2.863830580241671,-43.40704428694278,-6.342081968387969,0.8947216004950446,-2.5823851034680447,0.5052260586278551,-0.7668084085177393,-0.15865441083138387,0.059223600631227516,1403.449951171875
2000-01-06,1403.449951171875,1349.6151141556272,15.31456566324598,3.050160399138456,-43.10472864522033,-6.331208385809968,0.8112009554143174,-2.4782469970379637,0.5366353361069655,-0.754960242312835,-0.15280326412947387,0.061113939313424875,1441.469970703125
2000-01-07,1441.469970703125,1348.3682840577756,15.461866184408041,3.210922860185621,-42.864017263435294,-6.3244216380768705,0.7395824882987713,-2.388502731886862,0.5639941188922395,-0.7446919023460866,-0.14778272913020019,0.06276651028654032,1457.5999755859375
2000-01-10,1457.5999755859375,1347.0757161915826,15.613494429441685,3.3785360741208397,-42.60679906995025,-6.3165398262474985,0.6647748422094395,-2.294901648589272,0.5924382284596142,-0.7340002492146651,-0.14253963239599216,0.0644827909252869,1438.56005859375
2000-01-11,1438.56005859375,1345.7374105570448,15.769450398347338,3.553000040944581,-42.333074064764475,-6.30756295032183,0.5867780171461127,-2.19744374714493,0.6219676648091693,-0.7228852829185406,-0.13707397392683518,0.06626278122966939,1432.25
2000-01-12,1432.25,1344.4113603206013,15.924246757136103,3.7256283540639448,-42.063772046444065,-6.298879495936442,0.5096357300135435,-2.101019277008561,0.6512062887238557,-0.711883743043066,-0.13166795069483486,0.06802570058059108,1449.6800537109375
2000-01-13,1449.6800537109375,1343.039572315808,16.083370839797478,3.9051074200725067,-41.77796321642188,-6.289100977454723,0.42930426390667775,-2.0007379887250645,0.6815302394208366,-0.7004588900028457,-0.1260393657278645,0.0698523295971556,1465.1500244140625
2000-01-14,1465.1500244140625,1341.6800397091101,16.2413353123418,4.0827508323765,-41.49657737326537,-6.279615880513295,0.34982733573065516,-1.9014901317496464,0.7115633776829164,-0.6891474633832876,-0.12047041599805677,0.07166188766025736,1455.1400146484375
2000-01-18,1455.1400146484375,1340.3327625005045,16.398140174769512,4.258558590976423,-41.21961451697375,-6.270424205112133,0.2712049454852534,-1.80327570608203,0.7413057035101793,-0.67794946318436,-0.11496110150539612,0.07345437476990145,1455.9000244140625
2000-01-19,1455.9000244140625,1338.9822014678798,16.55525575379118,4.434858211503572,-40.94146652492412,-6.261153907646233,0.19235358249160178,-1.704784373330257,0.771125952294439,-0.6667210704676471,-0.1094358077991128,0.07525143602773486,1445.5699462890625
2000-01-20,1445.5699462890625,1340.0091244912446,16.487412947722877,4.25505047582571,-41.521355185158974,-6.308805876469839,0.27927817308637254,-1.8067733871844507,0.7445300877974071,-0.677496818665394,-0.11547944269304536,0.07373682031173559,1441.3599853515625
2000-01-21,1441.3599853515625,1340.3990025817886,16.479847559270002,4.17066141866185,-41.87133361733738,-6.34120557000977,0.32178323079257865,-1.855043854067213,0.73305087529421,-0.6823765750749661,-0.11842319251125348,0.07310956576646802,1401.530029296875
2000-01-24,1401.530029296875,1340.1518357395137,16.532559588432537,4.181691040011757,-41.991401821460315,-6.358352988266116,0.31986875561033934,-1.8495957739786788,0.7366883147848158,-0.6813603396963771,-0.11826705725374545,0.07336967239193039,1410.030029296875
2000-01-25,1410.030029296875,1340.0753645725297,16.56912033222313,4.167153303511109,-42.17307428552194,-6.379587241367387,0.3298564583936956,-1.8585415351696457,0.7362752595814241,-0.6819239305560036,-0.1189415336989027,0.0733920113083011,1404.0899658203125
2000-01-26,1404.0899658203125,1339.3618484727251,16.665958493629393,4.248034245524367,-42.12483652152834,-6.385569219185129,0.29542462828855354,-1.813768749389241,0.7509788563718647,-0.6765915296274592,-0.11651612506834,0.07430171139540369,1398.56005859375
2000-01-27,1398.56005859375,1338.8190280482129,16.74664536966355,4.303347829686888,-42.13820301747371,-6.395638031847803,0.2728949761490878,-1.783389804888438,0.7616319584682774,-0.6728389549371416,-0.11492132814044828,0.07497364377341274,1360.1600341796875
2000-01-28,1360.1600341796875,1338.4469032989919,16.811180960325835,4.333094055998826,-42.213173773358086,-6.409793679355442,0.2622675019752354,-1.7674047016671515,0.768234565870692,-0.6706662064850412,-0.11415714291522305,0.07540780844233021,1394.4599609375
2000-01-31,1394.4599609375,1338.029040781426,16.88004427486009,4.369691035199344,-42.27163771754138,-6.422854262766746,0.24845084882735655,-1.7475627802990805,0.7759225000552932,-0.6680701448682346,-0.11317039595504673,0.07590568277688388,1409.280029296875
2000-02-01,1409.280029296875,1336.9741333310349,17.009185007010593,4.501706692914301,-42.10019143366893,-6.4206625708945335,0.19021466279074956,-1.6740023119593443,0.7987270862338205,-0.6595780914632225,-0.1090837639191343,0.07729091828217516,1409.1199951171875
2000-02-02,1409.1199951171875,1336.0899215559382,17.122174453788773,4.608154992778273,-41.99034940973585,-6.422557713867268,0.14388065471992928,-1.614835684899347,0.817481177718278,-0.6526658642964533,-0.10582774358590058,0.0784383860783704,1424.969970703125
