date,AdjClose,Approx,D1,D2,D3,Target
2000-01-03,1455.219970703125,1428.7599945068364,-13.710006713867044,2.9468536999156174,-1.812500000000025,1399.4200439453125
2000-01-04,1399.4200439453125,1428.7599945068364,-13.710006713867044,2.9468536999156174,-1.812500000000025,1402.1099853515625
2000-01-05,1402.1099853515625,1428.7599945068364,-13.710006713867044,2.9468536999156174,-1.812500000000025,1403.449951171875
2000-01-06,1403.449951171875,1428.7599945068364,13.710006713867044,-0.07073657314237985,1.812500000000025,1441.469970703125
2000-01-07,1441.469970703125,1428.7599945068364,13.710006713867044,-0.07073657314237985,1.812500000000025,1457.5999755859375
2000-01-10,1457.5999755859375,1428.7599945068364,13.710006713867044,-0.07073657314237985,1.812500000000025,1438.56005859375
2000-01-11,1438.56005859375,1428.7599945068364,13.710006713867044,-0.07073657314237985,1.812500000000025,1432.25
2000-01-12,1432.25,1440.545013427735,15.922515869140911,0.07073657314237985,-0.7699890136719183,1449.6800537109375
2000-01-13,1449.6800537109375,1440.545013427735,15.922515869140911,0.07073657314237985,-0.7699890136719183,1465.1500244140625
2000-01-14,1465.1500244140625,1440.545013427735,15.922515869140911,0.07073657314237985,-0.7699890136719183,1455.1400146484375
2000-01-18,1455.1400146484375,1440.545013427735,15.922515869140911,0.07073657314237985,-0.7699890136719183,1455.9000244140625
2000-01-19,1455.9000244140625,1440.545013427735,-15.922515869140911,1.338190088553509,0.7699890136719183,1445.5699462890625
2000-01-20,1445.5699462890625,1440.545013427735,-15.922515869140911,1.338190088553509,0.7699890136719183,1441.3599853515625
2000-01-21,1441.3599853515625,1440.545013427735,-15.922515869140911,1.338190088553509,0.7699890136719183,1401.530029296875
2000-01-24,1401.530029296875,1440.545013427735,-15.922515869140911,1.338190088553509,0.7699890136719183,1410.030029296875
2000-01-25,1410.030029296875,1403.1262512207036,-13.8087463378908,-1.338190088553509,5.022491455078143,1404.0899658203125
2000-01-26,1404.0899658203125,1403.1262512207036,-13.8087463378908,-1.338190088553509,5.022491455078143,1398.56005859375
2000-01-27,1398.56005859375,1403.1262512207036,-13.8087463378908,-1.338190088553509,5.022491455078143,1360.1600341796875
2000-01-28,1360.1600341796875,1403.1262512207036,-13.8087463378908,-1.338190088553509,5.022491455078143,1394.4599609375
2000-01-31,1394.4599609375,1403.1262512207036,13.8087463378908,-1.101336938214736,-5.022491455078143,1409.280029296875
2000-02-01,1409.280029296875,1403.1262512207036,13.8087463378908,-1.101336938214736,-5.022491455078143,1409.1199951171875
2000-02-02,1409.1199951171875,1403.1262512207036,13.8087463378908,-1.101336938214736,-5.022491455078143,1424.969970703125
2000-02-03,1424.969970703125,1403.1262512207036,13.8087463378908,-1.101336938214736,-5.022491455078143,1424.3699951171875
2000-02-04,1424.3699951171875,1407.659988403321,15.964981079101399,1.101336938214736,7.292495727539036,1424.239990234375
2000-02-07,1424.239990234375,1407.659988403321,15.964981079101399,1.101336938214736,7.292495727539036,1441.719970703125
2000-02-08,1441.719970703125,1407.659988403321,15.964981079101399,1.101336938214736,7.292495727539036,1411.7099609375
2000-02-09,1411.7099609375,1407.659988403321,15.964981079101399,1.101336938214736,7.292495727539036,1416.8299560546875
2000-02-10,1416.8299560546875,1407.659988403321,-15.964981079101399,-1.3647109086852116,-7.292495727539036,1387.1199951171875
2000-02-11,1387.1199951171875,1407.659988403321,-15.964981079101399,-1.3647109086852116,-7.292495727539036,1389.93994140625
2000-02-14,1389.93994140625,1407.659988403321,-15.964981079101399,-1.3647109086852116,-7.292495727539036,1402.050048828125
2000-02-15,1402.050048828125,1407.659988403321,-15.964981079101399,-1.3647109086852116,-7.292495727539036,1387.6700439453125
2000-02-16,1387.6700439453125,1356.0587615966801,5.743728637695331,1.3647109086852116,-1.595001220703123,1388.260009765625
2000-02-17,1388.260009765625,1356.0587615966801,5.743728637695331,1.3647109086852116,-1.595001220703123,1346.0899658203125
2000-02-18,1346.0899658203125,1356.0587615966801,5.743728637695331,1.3647109086852116,-1.595001220703123,1352.1700439453125
2000-02-22,1352.1700439453125,1356.0587615966801,5.743728637695331,1.3647109086852116,-1.595001220703123,1360.68994140625
2000-02-23,1360.68994140625,1356.0587615966801,-5.743728637695331,4.286813281757008,1.595001220703123,1353.4300537109375
2000-02-24,1353.4300537109375,1356.0587615966801,-5.743728637695331,4.286813281757008,1.595001220703123,1333.3599853515625
2000-02-25,1333.3599853515625,1356.0587615966801,-5.743728637695331,4.286813281757008,1.595001220703123,1348.050048828125
2000-02-28,1348.050048828125,1356.0587615966801,-5.743728637695331,4.286813281757008,1.595001220703123,1366.4200439453125
2000-02-29,1366.4200439453125,1385.0599822998054,5.290023803710874,-4.286813281757008,-8.75500488281249,1379.18994140625
2000-03-01,1379.18994140625,1385.0599822998054,5.290023803710874,-4.286813281757008,-8.75500488281249,1381.760009765625
2000-03-02,1381.760009765625,1385.0599822998054,5.290023803710874,-4.286813281757008,-8.75500488281249,1409.1700439453125
2000-03-03,1409.1700439453125,1385.0599822998054,5.290023803710874,-4.286813281757008,-8.75500488281249,1391.280029296875
2000-03-06,1391.280029296875,1385.0599822998054,-5.290023803710874,-1.8278649871950232,8.75500488281249,1355.6199951171875
2000-03-07,1355.6199951171875,1385.0599822998054,-5.290023803710874,-1.8278649871950232,8.75500488281249,1366.699951171875
2000-03-08,1366.699951171875,1385.0599822998054,-5.290023803710874,-1.8278649871950232,8.75500488281249,1401.68994140625
2000-03-09,1401.68994140625,1385.0599822998054,-5.290023803710874,-1.8278649871950232,8.75500488281249,1395.0699462890625
