date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,D8,D9,Target
2000-01-03,1455.219970703125,1368.6726832502382,50.716609880547594,-15.052310899341325,-4.172058783325269,-0.9984666619506455,-1.4866167809604716,2.2326557785683843,0.11950075731639233,-0.370306975536785,0.038807388683012894,1399.4200439453125
2000-01-04,1399.4200439453125,1367.4489235401304,51.69812853030748,-15.443907480109665,-4.596906917508616,-0.949457743210308,-1.4741262226698717,2.185146580632501,0.09292900391793697,-0.3388217973001709,0.039203214563393415,1402.1099853515625
2000-01-05,1402.1099853515625,1366.1837537855486,52.7122788652958,-15.84981854411945,-5.040112651018289,-0.8994842393057169,-1.4613127442962364,2.1349092332012933,0.06514444650674286,-0.30600624461080345,0.03961549056870358,1403.449951171875
2000-01-06,1403.449951171875,1364.9296798189441,53.717685566577444,-16.251894053903804,-5.478399480612603,-0.84976919521702,-1.448585792098096,2.08540289122429,0.03768485895139531,-0.2735471646817484,0.040023358776322626,1441.469970703125
2000-01-07,1441.469970703125,1363.8301502422535,54.60130916065742,-16.600547184949956,-5.848174816819262,-0.8036540319691657,-1.4370639940565324,2.0460781417741334,0.014751517591014542,-0.24605310980322528,0.040369834281916414,1457.5999755859375
2000-01-10,1457.5999755859375,1362.689210621093,55.51756443996194,-16.963514799236005,-6.236307752350582,-0.7565742835572569,-1.4252192759319835,2.004025242828834,-0.009394627782001442,-0.21722868047207208,0.04073275991243828,1438.56005859375
2000-01-11,1438.56005859375,1361.5068609554598,56.46645140449355,-17.34079689676296,-6.642798287207649,-0.7085299499811615,-1.4130516377244162,1.9592441943882737,-0.03475357716772025,-0.18707387668820816,0.041112135667889224,1432.25
2000-01-12,1432.25,1360.335607077804,57.40659473531896,-17.71424344006468,-7.044369918149588,-0.6607440762209386,-1.400970525692338,1.9151941514018898,-0.059787556697607075,-0.1572755456646398,0.041487103625649266,1449.6800537109375
2000-01-13,1449.6800537109375,1359.1229431556708,58.37936975137516,-18.10200446660877,-7.464299148418849,-0.6119936172963445,-1.3885664935771953,1.8684159589200715,-0.08603434024029498,-0.12614684018824407,0.04187852170833987,1465.1500244140625
2000-01-14,1465.1500244140625,1357.921375021516,59.34340113372413,-18.485929938927214,-7.879309474772534,-0.563501618187674,-1.3762489876375543,1.8223687718924797,-0.11195615392712276,-0.09537460747217717,0.04226553199333914,1455.1400146484375
2000-01-18,1455.1400146484375,1356.730902675337,60.29868888236856,-18.86601985702109,-8.289400897211804,-0.515268078894791,-1.3640180078733815,1.7770525903189858,-0.13755299775816301,-0.06495884751635296,0.042648134480648185,1455.9000244140625
2000-01-19,1455.9000244140625,1355.5374572217324,61.256319480601064,-19.247137508771182,-8.700810335981743,-0.46696528550309085,-1.3517638434903927,1.7315405364244971,-0.16323691699957324,-0.03444757097236066,0.04303191803378793,1445.5699462890625
2000-01-20,1445.5699462890625,1356.49653743903,60.51773021163923,-18.8841774123802,-8.157977771203988,-0.4688023640708465,-1.3562953111249219,1.8278397724559925,-0.12587835936502104,-0.07309017237814346,0.04256061155623214,1441.3599853515625
2000-01-21,1441.3599853515625,1356.8788501411218,60.23364168627791,-18.720592347709744,-7.8708335806610545,-0.4572045044385018,-1.356329082215915,1.886140787874119,-0.10541198249826754,-0.09320304803377887,0.0423184257618574,1401.530029296875
2000-01-24,1401.530029296875,1356.6843953280093,60.40405390451632,-18.756382314759357,-7.839377764352138,-0.43217170660602444,-1.3518651567633722,1.90644358267904,-0.1018377863992555,-0.09478619793932327,0.042305360650663065,1410.030029296875
2000-01-25,1410.030029296875,1356.6444849048162,60.45268301554785,-18.738749903068733,-7.739410454653454,-0.41073878961467536,-1.3486063854674757,1.9369279700110171,-0.09373734410514724,-0.10133437289555687,0.04223090283744147,1404.0899658203125
2000-01-26,1404.0899658203125,1356.027806966417,60.955812870180246,-18.920492523098517,-7.895131519188932,-0.37587093442308406,-1.340849917628022,1.9294141367298279,-0.10252908257878408,-0.08935282210168655,0.042385565707400465,1398.56005859375
2000-01-27,1398.56005859375,1355.5656734179383,61.33715961760477,-19.04881276438767,-7.982341090334223,-0.3446029600726705,-1.334298603945227,1.932081895975742,-0.10679457485729837,-0.08233629635853668,0.04247883587533181,1360.1600341796875
2000-01-28,1360.1600341796875,1355.2580842593798,61.59672325782249,-19.123710626936557,-8.00103916808957,-0.3169348665633473,-1.3289524444190723,1.9449312477487664,-0.10653382094070205,-0.08028479566608765,0.042510713341235774,1394.4599609375
2000-01-31,1394.4599609375,1354.909085056348,61.8889185832674,-19.21292297272645,-8.038094845170908,-0.28830218788986517,-1.3232833648099027,1.95505245002647,-0.10748587103682697,-0.07690292052091116,0.04255904093206902,1409.280029296875
2000-02-01,1409.280029296875,1353.9833183381063,62.635614652316306,-19.50151035023793,-8.330838896487512,-0.24623457101594354,-1.3131165886571303,1.9271754316909253,-0.12533010190076205,-0.05499131962554728,0.04283648920608393,1409.1199951171875
2000-02-02,1409.1199951171875,1353.212096009787,63.260527614156004,-19.736675349008248,-8.55507145441335,-0.2077668349832673,-1.3041549666610337,1.9094800058825472,-0.1386480865695386,-0.0380447437809466,0.04305254477807067,1424.969970703125
2000-02-03,1424.969970703125,1352.5954180713882,63.76365746878824,-19.918417969038064,-8.710792518949052,-0.17289897979172886,-1.2963984988215882,1.9019661726012864,-0.14743982504319386,-0.02606319298706166,0.043207207648029815,1424.3699951171875
