date,AdjClose,Approx,D1,D2,D3,D4,Target
2000-01-03,1455.219970703125,1434.652503967286,-5.892509460449334,7.4042720296481,5.721252441406278,0.9687436271489676,1399.4200439453125
2000-01-04,1399.4200439453125,1434.652503967286,-5.892509460449334,7.4042720296481,5.721252441406278,0.9687436271489676,1402.1099853515625
2000-01-05,1402.1099853515625,1434.652503967286,-5.892509460449334,7.4042720296481,5.721252441406278,0.9687436271489676,1403.449951171875
2000-01-06,1403.449951171875,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1441.469970703125
2000-01-07,1441.469970703125,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1457.5999755859375
2000-01-10,1457.5999755859375,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1438.56005859375
2000-01-11,1438.56005859375,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1432.25
2000-01-12,1432.25,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1449.6800537109375
2000-01-13,1449.6800537109375,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1465.1500244140625
2000-01-14,1465.1500244140625,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1455.1400146484375
2000-01-18,1455.1400146484375,1434.652503967286,5.892509460449334,2.348473649594781,-5.721252441406278,-1.764227966390593,1455.9000244140625
2000-01-19,1455.9000244140625,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1445.5699462890625
2000-01-20,1445.5699462890625,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1441.3599853515625
2000-01-21,1441.3599853515625,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1401.530029296875
2000-01-24,1401.530029296875,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1410.030029296875
2000-01-25,1410.030029296875,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1404.0899658203125
2000-01-26,1404.0899658203125,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1398.56005859375
2000-01-27,1398.56005859375,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1360.1600341796875
2000-01-28,1360.1600341796875,1405.3931198120126,-2.266868591308708,-2.348473649594781,5.7750015258789364,1.764227966390593,1394.4599609375
2000-01-31,1394.4599609375,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1409.280029296875
2000-02-01,1409.280029296875,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1409.1199951171875
2000-02-02,1409.1199951171875,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1424.969970703125
2000-02-03,1424.969970703125,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1424.3699951171875
2000-02-04,1424.3699951171875,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1424.239990234375
2000-02-07,1424.239990234375,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1441.719970703125
2000-02-08,1441.719970703125,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1411.7099609375
2000-02-09,1411.7099609375,1405.3931198120126,2.266868591308708,-5.8309659152640165,-5.7750015258789364,-0.13966049462402455,1416.8299560546875
2000-02-10,1416.8299560546875,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1387.1199951171875
2000-02-11,1387.1199951171875,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1389.93994140625
2000-02-14,1389.93994140625,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1402.050048828125
2000-02-15,1402.050048828125,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1387.6700439453125
2000-02-16,1387.6700439453125,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1388.260009765625
2000-02-17,1388.260009765625,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1346.0899658203125
2000-02-18,1346.0899658203125,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1352.1700439453125
2000-02-22,1352.1700439453125,1370.559371948243,-14.500610351562617,5.8309659152640165,6.050003051757815,0.13966049462402455,1360.68994140625
2000-02-23,1360.68994140625,1370.559371948243,14.500610351562617,2.753288397570544,-6.050003051757815,0.03003822752111774,1353.4300537109375
2000-02-24,1353.4300537109375,1370.559371948243,14.500610351562617,2.753288397570544,-6.050003051757815,0.03003822752111774,1333.3599853515625
2000-02-25,1333.3599853515625,1370.559371948243,14.500610351562617,2.753288397570544,-6.050003051757815,0.03003822752111774,1348.050048828125
2000-02-28,1348.050048828125,1370.559371948243,14.500610351562617,2.753288397570544,-6.050003051757815,0.03003822752111774,1366.4200439453125
2000-02-29,1366.4200439453125,1370.559371948243,14.500610351562617,2.753288397570544,-6.050003051757815,0.03003822752111774,1379.18994140625
2000-03-01,1379.18994140625,1370.559371948243,14.500610351562617,2.753288397570544,-6.050003051757815,0.03003822752111774,1381.760009765625
