date,AdjClose,Approx,D1,D2,D3,D4,D5,Target
2021-09-30,4307.5400390625,4481.9051825869265,-40.243047390134386,-1.6053431608919964,-0.9094870711392556,0.5666307229584864,0.07457258443532802,4357.0400390625
2021-10-01,4357.0400390625,4489.577571986302,-41.369159786508924,-2.4041093349204425,-0.6429098249728327,0.6029340376090144,0.04022480365127766,4300.4599609375
2021-10-04,4300.4599609375,4499.489447539493,-40.69745199196517,-3.558791912501548,-0.1312958130258464,0.6292854850098965,-0.014749393629709347,4345.72021484375
2021-10-05,4345.72021484375,4511.640809246528,-38.22792400650125,-5.069390893638547,0.6253549647031356,0.6456850651612063,-0.09035000740778695,4363.5498046875
2021-10-06,4363.5498046875,4523.192102447155,-36.24012048933439,-6.484622361866937,1.3163483389235398,0.6647512401051792,-0.16042378954258243,4399.759765625
2021-10-07,4399.759765625,4526.385519538844,-40.961873267572315,-6.5715557287822755,1.0928520535241615,0.7209582892550751,-0.15351873733233712,4391.33984375
2021-10-08,4391.33984375,4531.8184227843485,-43.88580585488098,-7.014405499251014,1.1143925339062533,0.767213471155222,-0.16724010161908814,4361.18994140625
2021-10-11,4361.18994140625,4539.490812183686,-45.01191825126857,-7.813171673274391,1.3809697800698757,0.8035167858057495,-0.2015878824028739,4350.64990234375
2021-10-12,4350.64990234375,4546.563133076629,-46.619755115946106,-8.516570334390957,1.5818896227260493,0.8424866952489117,-0.230408831543477,4363.7998046875
2021-10-13,4363.7998046875,4555.874940123435,-46.42977178970505,-9.575885399065587,2.0278462311650247,0.8715047374425838,-0.2798561971812675,4438.259765625
2021-10-14,4438.259765625,4564.586678663836,-46.72151293175597,-10.539832950831952,2.408145436095843,0.903189374428871,-0.3237767311758034,4471.3701171875
2021-10-15,4471.3701171875,4572.698348697855,-47.49497854209967,-11.408412989692753,2.7227872375195696,0.9375406062078624,-0.362170433527208,4486.4599609375
2021-10-18,4486.4599609375,4580.970806603545,-48.139366470188804,-12.30254667661891,3.055021887189449,0.9711773260655392,-0.40204504595400936,4519.6298828125
2021-10-19,4519.6298828125,4580.885388400318,-27.910826811612704,-6.400529615188091,1.7821393552200746,0.6095645894647528,-0.3289422330915266,4536.18994140625
2021-10-20,4536.18994140625,4583.039456350908,-13.275171243581854,-2.319535658426434,0.9393466758296015,0.35385862553128133,-0.28611163009831575,4549.77978515625
2021-10-21,4549.77978515625,4587.433010455321,-4.232399766055292,-0.05956480632251182,0.5266438490156703,0.204059434264409,-0.27355323697425704,4544.89990234375
2021-10-22,4544.89990234375,4591.2264960533485,6.308980486859824,2.688347716066798,-0.0013012064677808965,0.025882608788925496,-0.25288342966270305,4566.47998046875
2021-10-25,4566.47998046875,4597.25946780522,11.257476649299509,3.615237133805152,-0.09915640937582812,-0.04638744402042323,-0.2624858322202842,4574.7900390625
2021-10-26,4574.7900390625,4602.692371050698,17.704581587128406,5.03006822182981,-0.31225384095373576,-0.14703513103841764,-0.26397682059032923,4551.68017578125
2021-10-27,4551.68017578125,4607.525205789797,25.65029530036457,6.932840980144731,-0.6405935012021006,-0.27606045226533954,-0.2573563947728425,4596.419921875
2021-10-28,4596.419921875,4612.518828400572,33.194458002445046,8.704870161948367,-0.9380540993436715,-0.39748200932263145,-0.2529094158363864,4605.3798828125
2021-10-29,4605.3798828125,4619.751937165226,35.14573661406967,8.655876239103845,-0.805424844909866,-0.41299679371404696,-0.2787346467691497,4613.669921875
2021-11-01,4613.669921875,4626.384977423474,38.59562400108441,9.094823986546876,-0.7880378191463859,-0.4568892123141553,-0.2964484635143211,4630.64990234375
