date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,D8,D9,Target
2000-01-03,1455.219970703125,1368.6726832503532,50.71660988058705,-15.052310899361178,-4.172058783310191,-0.9984666619585658,-1.4866167809637774,2.232655778571371,0.11950075731716034,-0.37030697553814385,0.03880738868340724,1399.4200439453125
2000-01-04,1399.4200439453125,1367.448923540241,51.69812853035151,-15.443907480131232,-4.596906917496666,-0.9494577432179577,-1.4741262226731247,2.1851465806350854,0.09292900391849401,-0.3388217973013536,0.039203214563784394,1402.1099853515625
2000-01-05,1402.1099853515625,1366.1837537856536,52.71227886534443,-15.84981854414275,-5.040112651009595,-0.899484239313103,-1.4613127442994376,2.134909233203447,0.06514444650707929,-0.30600624461180326,0.03961549056909091,1403.449951171875
2000-01-06,1403.449951171875,1364.9296798190421,53.71768556663272,-16.25189405392965,-5.478399480608028,-0.8497691952240392,-1.4485857921012195,2.08540289122592,0.03768485895145772,-0.27354716468250106,0.04002335877670722,1441.469970703125
2000-01-07,1441.469970703125,1363.8301502423528,54.60130916071182,-16.600547184975323,-5.848174816815138,-0.8036540319761714,-1.4370639940596681,2.0460781417756895,0.014751517591036612,-0.24605310980399075,0.040369834282296235,1457.5999755859375
2000-01-10,1457.5999755859375,1362.689210621189,55.517564440019385,-16.96351479926246,-6.2363077523487025,-0.7565742835640568,-1.425219275935083,2.004025242830107,-0.0093946277821329,-0.2172286804727205,0.04073275991281463,1438.56005859375
2000-01-11,1438.56005859375,1361.5068609555508,56.46645140455541,-17.340796896791048,-6.6427982872087235,-0.7085299499876956,-1.4130516377274642,1.9592441943891725,-0.03475357716805081,-0.1870738766886902,0.0411121356682624,1432.25
2000-01-12,1432.25,1360.3356070778882,57.4065947353868,-17.714243440095025,-7.0443699181542465,-0.6607440762271253,-1.4009705256953138,1.915194151402349,-0.05978755669817556,-0.15727554566490798,0.041487103626019955,1449.6800537109375
2000-01-13,1449.6800537109375,1359.1229431557513,58.37936975144662,-18.10200446664046,-7.464299148426223,-0.6119936173023082,-1.3885664935801296,1.8684159589201736,-0.08603434024104872,-0.12614684018836575,0.04187852170870688,1465.1500244140625
2000-01-14,1465.1500244140625,1357.9213750215897,59.34340113380182,-18.485929938961277,-7.879309474783703,-0.5635016181932819,-1.3762489876404143,1.8223687718921096,-0.11195615392812874,-0.09537460747207155,0.04226553199370359,1455.1400146484375
2000-01-18,1455.1400146484375,1356.7309026754033,60.298688882452396,-18.866019857057477,-8.289400897226685,-0.5152680789000469,-1.3640180078761677,1.777052590318156,-0.1375529977594156,-0.0649588475160254,0.04264813448101008,1455.9000244140625
2000-01-19,1455.9000244140625,1355.5374572217895,61.25631948069305,-19.247137508810688,-8.700810336001204,-0.46696528550789457,-1.35176384349308,1.731540536423111,-0.16323691700112666,-0.03444757097174709,0.043031918034148076,1445.5699462890625
2000-01-20,1445.5699462890625,1356.4965374391136,60.51773021171006,-18.88417741241132,-8.157977771211716,-0.4688023640766981,-1.3562953111278597,1.8278397724561035,-0.12587835936582426,-0.0730901723783089,0.042560611556594394,1441.3599853515625
2000-01-21,1441.3599853515625,1356.8788501412225,60.23364168633527,-18.7205923477354,-7.870833580661061,-0.45720450444496374,-1.356329082219006,1.8861407878752632,-0.10541198249857536,-0.0932030480344627,0.042318425762220446,1401.530029296875
2000-01-24,1401.530029296875,1356.6843953281164,60.404053904568684,-18.75638231478294,-7.839377764349239,-0.43217170661269116,-1.3518651567665185,1.9064435826805883,-0.10183778639937996,-0.09478619794020846,0.04230536065102625,1410.030029296875
2000-01-25,1410.030029296875,1356.6444849049328,60.45268301559294,-18.73874990308925,-7.739410454646096,-0.4107387896216149,-1.348606385470698,1.9369279700132103,-0.09373734410498409,-0.10133437289674622,0.042230902837804764,1404.0899658203125
2000-01-26,1404.0899658203125,1356.027806966534,60.95581287022538,-18.920492523119005,-7.895131519181781,-0.37587093443000064,-1.340849917631244,1.9294141367319986,-0.10252908257864167,-0.08935282210287596,0.042385565707763015,1398.56005859375
2000-01-27,1398.56005859375,1355.5656734180575,61.33715961764866,-19.048812764407533,-7.9823410903261465,-0.3446029600795825,-1.334298603948457,1.9320818959780834,-0.10679457485709878,-0.0823362963597977,0.04247883587569398,1360.1600341796875
2000-01-28,1360.1600341796875,1355.2580842595034,61.596723257862806,-19.123710626954836,-8.001039168079188,-0.3169348665703607,-1.3289524444223368,1.9449312477514646,-0.10653382094035543,-0.08028479566751145,0.042510713341597686,1394.4599609375
2000-01-31,1394.4599609375,1354.909085056475,61.88891858330538,-19.212922972743602,-8.038094845158687,-0.28830218789689205,-1.3232833648131828,1.9550524500294943,-0.10748587103636052,-0.0769029205224652,0.042559040932430764,1409.280029296875
2000-02-01,1409.280029296875,1353.9833183382318,62.63561465235613,-19.501510350255817,-8.330838896477015,-0.2462345710228854,-1.3131165886603946,1.9271754316936898,-0.12533010190041904,-0.0549913196270109,0.04283648920644356,1409.1199951171875
2000-02-02,1409.1199951171875,1353.2120960099107,63.260527614197734,-19.736675349026804,-8.555071454404024,-0.20776683499007498,-1.3041549666642736,1.9094800058851822,-0.1386480865692771,-0.03804474378234862,0.04305254477842908,1424.969970703125
2000-02-03,1424.969970703125,1352.595418071512,63.76365746883019,-19.918417969056563,-8.71079251893971,-0.17289897979846075,-1.2963984988248196,1.9019661726039705,-0.14743982504293468,-0.026063192988478354,0.04320720764838734,1424.3699951171875
