date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,Target
2000-01-03,1455.219970703125,1450.4117088279318,-18.315736834580427,-7.70263349592163,-8.11419007270156,-2.0546920280197005,-1.0149772083141861,-2.7430803528828513,-1.9988559656543716,1399.4200439453125
2000-01-04,1399.4200439453125,1450.7630252208853,-18.56183427238338,-7.901620830572428,-8.220706706244703,-1.9899830517080772,-1.0477429349234486,-2.8615930011232606,-2.02981725625743,1402.1099853515625
2000-01-05,1402.1099853515625,1451.1270181745156,-18.813473450101625,-8.112837808591365,-8.329043077025771,-1.9138542857379242,-1.081854995545953,-2.9862710834945423,-2.0617774423640336,1403.449951171875
2000-01-06,1403.449951171875,1451.4876144539496,-19.063627723084906,-8.32077786354609,-8.436891850683502,-1.8407854431845074,-1.115606307056867,-3.1092971427694693,-2.0934699752271397,1441.469970703125
2000-01-07,1441.469970703125,1451.8009011648714,-19.293099941141975,-8.483076268092468,-8.537949272512865,-1.8103358358484742,-1.144333031626402,-3.209313488617261,-2.1214345793195615,1457.5999755859375
2000-01-10,1457.5999755859375,1452.1268644364704,-19.528113899114338,-8.657604316006983,-8.640826431580159,-1.768466438853911,-1.1744060902091795,-3.3154952685959262,-2.150398078915529,1438.56005859375
2000-01-11,1438.56005859375,1452.4655042687464,-19.768669597002,-8.844362007289641,-8.745523327885374,-1.7151772522008182,-1.2058254828051997,-3.4278424827054628,-2.1803604740150417,1432.25
2000-01-12,1432.25,1452.8007474268265,-20.007740390154694,-9.027842775508088,-8.849732627067253,-1.6649479889644614,-1.2368841262896288,-3.5385376737186447,-2.2100552158710562,1449.6800537109375
2000-01-13,1449.6800537109375,1453.1486671455832,-20.252352923222674,-9.22355318709467,-8.955761663487056,-1.6032989360695744,-1.2692891037873006,-3.6553982988626994,-2.2407488532306163,1465.1500244140625
2000-01-14,1465.1500244140625,1453.4931901901439,-20.495480551555694,-9.41598667561704,-9.061303102783523,-1.5447098065914242,-1.3013333321733813,-3.7706069009104,-2.2711748373466785,1455.1400146484375
2000-01-18,1455.1400146484375,1453.8343165605086,-20.737123275153746,-9.605143241075195,-9.166356944956647,-1.48918060053001,-1.333016811447871,-3.8841634798617455,-2.3013331682192426,1455.9000244140625
2000-01-19,1455.9000244140625,1454.1763530669812,-20.97916387777637,-9.795177855422068,-9.271541438385203,-1.43283149046018,-1.364796953155482,-3.998162717067637,-2.331563216562254,1445.5699462890625
2000-01-20,1445.5699462890625,1453.8594522884814,-18.839735171316157,-7.551098842844422,-5.878665466205903,-1.6056454510981482,-1.17318097405654,-3.7858255336517868,-1.9661758649417054,1441.3599853515625
2000-01-21,1441.3599853515625,1453.719113223353,-17.338419243024198,-5.959238610886792,-3.423091970861466,-1.7170553520049257,-1.0414238051199596,-3.6609299306023964,-1.706793876153093,1401.530029296875
2000-01-24,1401.530029296875,1453.755335871596,-16.475216092900485,-5.019597159549177,-1.9048209523518902,-1.767061193180512,-0.9695254463457401,-3.623475907919463,-1.553417250196417,1410.030029296875
2000-01-25,1410.030029296875,1453.7442489513264,-15.441031139186611,-3.905194212656017,-0.13540049211072214,-1.8335202025730635,-0.8815879677286282,-3.562591984392437,-1.3716365728755557,1404.0899658203125
2000-01-26,1404.0899658203125,1453.909723744428,-15.044958963640983,-3.4430100463828737,0.6967174912955837,-1.8385751522344247,-0.853509299273878,-3.5891496412318693,-1.2958612583866302,1398.56005859375
2000-01-27,1398.56005859375,1454.0278889690173,-14.477904984505193,-2.806064384554185,1.779984916433482,-1.8600832701127508,-0.8093915109762351,-3.5922773972272086,-1.1916818925335193,1360.1600341796875
2000-01-28,1360.1600341796875,1454.0987446250947,-13.739869201779243,-1.9943572271699512,3.1144017833029722,-1.898044556208042,-0.7492346028356993,-3.5719752523784543,-1.0590984753162234,1394.4599609375
2000-01-31,1394.4599609375,1454.1822768418492,-13.047647855245694,-1.2294772713878812,4.381523360080956,-1.9315972291666637,-0.6933753639043728,-3.5579511305396165,-0.9341259007237328,1409.280029296875
2000-02-01,1409.280029296875,1454.4423707719745,-12.993539286880395,-1.116816096225826,4.711342460024077,-1.9037458423940943,-0.6973749351354075,-3.631368589067235,-0.9151586889631784,1409.1199951171875
2000-02-02,1409.1199951171875,1454.6551551335879,-12.768448914924932,-0.8293934255082265,5.292311001698791,-1.8923476238384902,-0.6853353865235495,-3.681356146750762,-0.8677874258384388,1424.969970703125
2000-02-03,1424.969970703125,1454.8206299266892,-12.372376739379309,-0.36720925923508224,6.124428985105097,-1.8974025734998514,-0.6572567180687989,-3.7079138035901944,-0.7920121113495135,1424.3699951171875
2000-02-04,1424.3699951171875,1454.9987812804675,-12.022119000026084,0.04814770543589854,6.889251678419896,-1.898048910024544,-0.6334757188232576,-3.7407494834395436,-0.7238476394853943,1424.239990234375
2000-02-07,1424.239990234375,1455.129623065734,-11.500879457082698,0.6382661656624238,7.905223813466287,-1.9151484147662,-0.5936555997348236,-3.750155262444798,-0.627279116257089,1441.719970703125
2000-02-08,1441.719970703125,1455.2731414116777,-11.025454350331714,1.1815574242867857,8.853900658421171,-1.9278393063711876,-0.5581331498555988,-3.7658390644599695,-0.5383214356535896,1411.7099609375
2000-02-09,1411.7099609375,1455.429336318298,-10.595843679773129,1.678021481308984,9.735282213284545,-1.9361215848395061,-0.5269083691855829,-3.7878008894850566,-0.45697459767489573,1416.8299560546875
2000-02-10,1416.8299560546875,1455.5821345507225,-10.153957068035101,2.1870328491842916,10.634695486782359,-1.9455851476375368,-0.4945320315216235,-3.8080805233145734,-0.3735884405611649,1387.1199951171875
2000-02-11,1387.1199951171875,1455.911494496518,-10.350183234465323,2.043825436439584,10.596806283445309,-1.8936446507043763,-0.5220145040200251,-3.915801737510548,-0.3962076462793702,1389.93994140625
2000-02-14,1389.93994140625,1456.1935448738013,-10.375427597305384,2.075379519250421,10.810066521839854,-1.8581573219881806,-0.5334578566755344,-4.0000930508624295,-0.39042280063339,1402.050048828125
2000-02-15,1402.050048828125,1456.4282856825723,-10.22969015655528,2.281695097616803,11.274476201965989,-1.83912316148895,-0.5288620894881508,-4.0609544633702175,-0.35623390362322443,1387.6700439453125
2000-02-16,1387.6700439453125,1456.6757030520207,-10.129767151997578,2.4411834743810212,11.671590592000616,-1.8156803878530505,-0.5285639915099765,-4.128093898887922,-0.3296558492378644,1388.260009765625
2000-02-17,1388.260009765625,1456.8758108529569,-9.858862343849715,2.775433346700784,12.319854423766838,-1.8086907824341156,-0.5122267736889095,-4.171803433561531,-0.27467374348831897,1346.0899658203125
2000-02-18,1346.0899658203125,1457.0885952145702,-9.633771971894253,3.0628560174183836,12.900822965441554,-1.7972925638785116,-0.5001872250770516,-4.221790991245058,-0.2273024803635792,1352.1700439453125
2000-02-22,1352.1700439453125,1457.3140561368607,-9.454496036131191,3.3034514865338194,13.414496217024759,-1.7814857321862387,-0.49244534567440285,-4.2780565719385,-0.187542059863645,1360.68994140625
2000-02-23,1360.68994140625,1457.536120384955,-9.26294415918869,3.556594266502364,13.946201187242405,-1.7668601848236773,-0.48355190927781033,-4.332639961436372,-0.1457423202286738,1353.4300537109375
2000-02-24,1353.4300537109375,1457.710875064537,-8.900410478656024,3.984498542026454,14.729055599191636,-1.768687805678081,-0.45861935303832524,-4.3637934500901485,-0.07553852922951716,1333.3599853515625
2000-02-25,1333.3599853515625,1457.8983063047963,-8.58369123431576,4.36557561594838,15.444614721049362,-1.7661068133958153,-0.43798446600804924,-4.401224961753842,-0.012945580855166141,1348.050048828125
2000-02-28,1348.050048828125,1458.098414105733,-8.312786426167897,4.699825488268142,16.092878552815584,-1.7591172079768802,-0.4216472481869822,-4.444934496427453,0.042036524894379264,1366.4200439453125
2000-02-29,1366.4200439453125,1458.2951252324733,-8.029605676840594,5.046622671441014,16.759174103216246,-1.7533088868876572,-0.40415847337197164,-4.486961839905492,0.09905794977896171,1379.18994140625
2000-03-01,1379.18994140625,1458.5045129198904,-7.79223936370569,5.346592653011722,17.358174363525396,-1.7430919526617652,-0.39096736776616997,-4.535267206393447,0.14846853203873853,1381.760009765625
2000-03-02,1381.760009765625,1458.7105039331113,-7.5425971093913455,5.65910994543554,17.975206342468987,-1.7340563027655849,-0.3766247051664247,-4.581890381685831,0.19991843343355237,1409.1700439453125
2000-03-03,1409.1700439453125,1458.9130982721365,-7.2806789138975585,5.984174548712467,18.610270040047013,-1.7262019371991162,-0.3611304855727359,-4.626831365782644,0.25340765396340326,1391.280029296875
2000-03-06,1391.280029296875,1459.116602747269,-7.022050046929136,6.3058771101791224,19.240502153178802,-1.71803104745047,-0.3459448247456127,-4.6722230916518255,0.30635044057791166,1355.6199951171875
2000-03-07,1355.6199951171875,1459.496668935772,-7.401533958128963,5.975360891025759,18.93343178947572,-1.6484560979706329,-0.3906179740808505,-4.805056397887466,0.25328786436048384,1366.699951171875
2000-03-08,1366.699951171875,1459.8294255557635,-7.610036065738628,5.819606167427942,18.877510867504228,-1.5953343167077605,-0.41925200357319586,-4.914459803279012,0.22862933950724146,1401.68994140625
2000-03-09,1401.68994140625,1460.1148726072433,-7.64755636975813,5.83861293938567,19.072739387264335,-1.5586657036618536,-0.4318469132226487,-5.000433307826465,0.2323748660181846,1395.0699462890625
2000-03-10,1395.0699462890625,1460.4129962194002,-7.730891109970033,5.810792509741235,19.20067261693293,-1.5175884774792772,-0.4487394920813105,-5.092684835383833,0.2285095499043221,1383.6199951171875
2000-03-13,1383.6199951171875,1460.6638102630445,-7.643244046591773,5.957733575652343,19.579755288333125,-1.4929644195136655,-0.44959295109707975,-5.161506462097108,0.25304828515464506,1359.1500244140625
2000-03-14,1359.1500244140625,1460.927300867366,-7.601411419405915,6.057847439961289,19.891542669641808,-1.4639317484113852,-0.4547440793220582,-5.236606111820299,0.26997617778016236,1392.1400146484375
2000-03-15,1392.1400146484375,1461.203468032365,-7.605393228412456,6.111134102668071,20.136034760858983,-1.4304904641724354,-0.46419287675624554,-5.317983784553407,0.27929322778087406,1458.469970703125
2000-03-16,1458.469970703125,1461.4762385231675,-7.597099096239558,6.176968076227963,20.3985585707106,-1.3982304642631975,-0.4724901171964893,-5.397679266090943,0.2906495969166228,1464.469970703125
2000-03-17,1464.469970703125,1461.7016994454577,-7.417823160476496,6.417563545343398,20.912231822293805,-1.3824236325709243,-0.4647482377938405,-5.453944846784385,0.33041001741655696,1456.6300048828125
2000-03-20,1456.6300048828125,1461.9398369284252,-7.2843616609058355,6.611331812856672,21.358609783785504,-1.362208187741982,-0.4613040276004008,-5.516488450487744,0.36255959529168547,1493.8699951171875
2000-03-21,1493.8699951171875,1462.19065097207,-7.196714597527577,6.75827287876778,21.73769245518569,-1.3375841297763706,-0.46215748661617007,-5.585310077201019,0.38709833054200843,1500.6400146484375
2000-03-22,1500.6400146484375,1462.4380683415184,-7.096791592969876,6.917761255531998,22.13480684522032,-1.3141413561404713,-0.4618593886379957,-5.652449512718724,0.41367638492736836,1527.3499755859375
2000-03-23,1527.3499755859375,1462.6981622716435,-7.042683024604576,7.0304224306940535,22.46462594516344,-1.2862899693679022,-0.46585895986903036,-5.725866971246344,0.43264359668792274,1527.4599609375
2000-03-24,1527.4599609375,1462.9548595275728,-6.976298515059834,7.155630916709217,22.812476763741,-1.2596198669250451,-0.4687069741061213,-5.797602238578392,0.4536501275835142,1523.8599853515625
2000-03-27,1523.8599853515625,1463.208160109306,-6.897638064335653,7.29338671357749,23.178359300952998,-1.2341310488118997,-0.4704034313492687,-5.86765531471487,0.4766959776141426,1507.72998046875
2000-03-28,1507.72998046875,1463.462370827147,-6.822266942136835,7.427780468635491,23.53941025371876,-1.2083257065165767,-0.47240844735898163,-5.938159132623718,0.49919539372942856,1508.52001953125
2000-03-29,1508.52001953125,1463.6692719764756,-6.575914016347854,7.7369357192490344,24.151610648216096,-1.1989735324382182,-0.458374343525802,-5.9852330496884685,0.5500988612088998,1487.9200439453125
2000-03-30,1487.9200439453125,1463.8888496864815,-6.375375526751274,7.999263768260414,24.69651575262193,-1.1852127452231909,-0.4486379089018315,-6.038584989763137,0.5933914860635655,1498.5799560546875
2000-03-31,1498.5799560546875,1464.1211039571645,-6.220651473347093,8.214764615669631,25.174125566936265,-1.1670433448714943,-0.4431991434870699,-6.098214952847722,0.6290732682934257,1505.969970703125
2000-04-03,1505.969970703125,1464.3499615536512,-6.053651478763472,8.442812773931957,25.669767099885036,-1.1500552288495096,-0.4366088210783648,-6.156162724736736,0.6667943696583228,1494.72998046875
2000-04-04,1494.72998046875,1464.5914957108148,-5.932465920372252,8.62403373059212,26.09811334274229,-1.1286584996908555,-0.43431616787886873,-6.220388519635666,0.6969046283984144,1487.3699951171875
2000-04-05,1487.3699951171875,1464.8296331937822,-5.799004420801593,8.817801998105395,26.544491304233983,-1.1084430548619133,-0.430871957685429,-6.282932123339025,0.729054206273543,1501.3399658203125
2000-04-06,1501.3399658203125,1465.0643740025534,-5.653266980051489,9.024117576471777,27.00890098436012,-1.089408894362683,-0.42627619049804566,-6.343793535846812,0.7632431032837086,1516.3499755859375
2000-04-07,1516.3499755859375,1465.3000249474328,-5.510818867826751,9.227071113027886,27.46847908004002,-1.0700582096812745,-0.4219889820772279,-6.405105690126966,0.7968855663785318,1504.4599609375
2000-04-10,1504.4599609375,1465.5483524529886,-5.414185191794413,9.38319744798183,27.860761885628406,-1.0462989118631971,-0.4219994428656191,-6.472695867417039,0.8229171868485492,1500.5899658203125
2000-04-11,1500.5899658203125,1465.7932832843485,-5.305275574582635,9.551871093788884,28.271076409851233,-1.0237208983748314,-0.4208583466600666,-6.538603853511541,0.8509881264536037,1467.1700439453125
2000-04-12,1467.1700439453125,1466.0348174415124,-5.184090016191416,9.733092050449049,28.699422652708492,-1.0023241692161773,-0.4185656934605705,-6.60282964841047,0.8810983851936951,1440.510009765625
2000-04-13,1440.510009765625,1466.277261734784,-5.0661937863255595,9.91095096529894,29.122937311119507,-0.9806109158753455,-0.41658159902764,-6.667506185081768,0.9106622100184442,1356.56005859375
2000-04-14,1356.56005859375,1466.5163093538592,-4.936021615280261,10.10135719100194,29.564483688164966,-0.9600789468642257,-0.4134459476007659,-6.730500530557494,0.94226535397823,1401.43994140625
2000-04-17,1401.43994140625,1466.7562671090425,-4.809138772760327,10.288401374894669,30.001198480764177,-0.9392304536709278,-0.41061885494045736,-6.79394561780559,0.9733220640226735,1441.6099853515625
2000-04-18,1441.6099853515625,1466.9971350003336,-4.685545258765756,10.472083516977122,30.433081688917152,-0.9180654362954521,-0.40810032104671445,-6.857841446826052,1.0038323401517746,1427.469970703125
2000-04-19,1427.469970703125,1467.2377590213896,-4.561070371849174,10.65666651544756,30.86625951622066,-0.8969852313189761,-0.40549910908065273,-6.921616499952614,1.034489032807209,1434.5400390625
2000-04-20,1434.5400390625,1460.3649595596914,1.0444811202821656,9.122398673421463,25.500353227923828,0.14672050603468084,-0.33792840811564695,-5.629262618907621,0.9983507326798238,1429.8599853515625
2000-04-24,1429.8599853515625,1455.3981961756178,5.181382562393091,8.048695526015969,21.68830684524226,0.9164145578284253,-0.2877662292605709,-4.700282390606375,0.9801100969270379,1477.43994140625
2000-04-25,1477.43994140625,1452.337468869169,7.849633954483603,7.435557073231078,19.43012036817595,1.412096924062257,-0.25501257251542464,-4.134675815048878,0.979767125548851,1460.989990234375
2000-04-26,1460.989990234375,1448.7660207349759,10.911408941441014,6.69901068246031,16.755578384248935,1.9812005001585582,-0.21759431632950335,-3.4717035626879453,0.9746284894550872,1464.9200439453125
2000-04-27,1464.9200439453125,1447.1006086784073,12.504533878378009,6.423028986310144,15.634896305937177,2.276292390694947,-0.1975845822535119,-3.172104963070759,0.9873875177359221,1452.4300537109375
2000-04-28,1452.4300537109375,1444.9244757940944,14.491182410181901,6.0236393521741025,14.097858720764716,2.644805491093805,-0.17291024873674532,-2.7751406866501394,0.99535088130118,1468.25
2000-05-01,1468.25,1442.2376220820377,16.871354536852692,5.500841780052182,12.144465628731538,3.086739801355132,-0.14357131577920373,-2.280810733426086,0.998518580150861,1446.2900390625
2000-05-02,1446.2900390625,1439.6876156033327,19.146082334076308,5.0111112652531675,10.302634658525943,3.509000957726495,-0.11548225847483252,-1.8125698346720225,1.0029712734882512,1415.0999755859375
2000-05-03,1415.0999755859375,1439.0436452022523,19.95216008127951,4.981945445074756,10.014663593935605,3.657250428537945,-0.10480172328039108,-1.7077025886617052,1.0253216312002402,1409.5699462890625
