date,AdjClose,Approx,D1,D2,D3,Target
2000-01-03,1455.219970703125,1431.6080992179054,-6.421748245473701,3.2823310310234257,0.6656040459296042,1399.4200439453125
2000-01-04,1399.4200439453125,1437.9603529043238,-7.753420720595808,1.0687495173275474,1.2866812757851696,1402.1099853515625
2000-01-05,1402.1099853515625,1441.6641425585744,-9.60918449617064,0.7600943282722745,1.5316467253512551,1403.449951171875
2000-01-06,1403.449951171875,1446.0775860114175,-11.324518431025593,-0.058984331109100896,1.8773910227089399,1441.469970703125
2000-01-07,1441.469970703125,1447.8425654321045,-6.087850839872916,-0.30911777691313846,-1.2610359565065556,1457.5999755859375
2000-01-10,1457.5999755859375,1450.3171986513844,-2.7139664433991695,-0.7116996332318151,-3.465882055868867,1438.56005859375
2000-01-11,1438.56005859375,1453.501485669265,-1.2028652415949073,-1.266729900066258,-4.737147275384168,1432.25
2000-01-12,1432.25,1456.495621524899,0.8073672128907439,-1.7809117384145754,-6.25856473772027,1449.6800537109375
2000-01-13,1449.6800537109375,1439.4550542833015,9.779246337220911,-0.09894844302101474,-1.7914923025168576,1465.1500244140625
2000-01-14,1465.1500244140625,1427.7827695572232,16.88575785836252,0.9945595373231533,1.0709691007544702,1455.1400146484375
2000-01-18,1455.1400146484375,1421.4787673466326,22.12690177633548,1.4996122026209908,2.3288194721017277,1455.9000244140625
2000-01-19,1455.9000244140625,1413.7363381712917,27.867869437152436,2.1623409943657954,4.016624073615267,1445.5699462890625
2000-01-20,1445.5699462890625,1411.3621915114195,9.601475283547773,-0.12627468940020548,1.8166814474823352,1441.3599853515625
2000-01-21,1441.3599853515625,1407.5496178867943,-2.232165659462326,-1.6240800043646662,0.6584575513750563,1401.530029296875
2000-01-24,1401.530029296875,1402.298617297406,-7.633053391910998,-2.3310749505317805,0.5419523852901867,1410.030029296875
2000-01-25,1410.030029296875,1397.4330420516067,-14.757592152222173,-3.249966896382229,0.14631952675649784,1404.0899658203125
2000-01-26,1404.0899658203125,1408.5254439632104,-12.996961792092847,0.83147555352918,-0.7769428034870629,1398.56005859375
2000-01-27,1398.56005859375,1415.3419187826432,-13.617105322396107,3.5730824402062096,-1.558827242881627,1360.1600341796875
2000-01-28,1360.1600341796875,1417.8824665099248,-16.618022743133686,4.974853763656536,-2.199333791429384,1394.4599609375
2000-01-31,1394.4599609375,1421.5687454484337,-18.981013722564015,6.735632944260026,-2.8777224316557333,1409.280029296875
2000-02-01,1409.280029296875,1420.9790972947972,-5.898115861456316,2.5907276395551846,1.2468679064069268,1409.1199951171875
2000-02-02,1409.1199951171875,1421.535180352393,3.0460685584336895,0.028245723445561532,4.08450390596872,1424.969970703125
2000-02-03,1424.969970703125,1423.236994621223,7.8515395371310435,-0.9518128040760183,5.635185567037592,1424.3699951171875
2000-02-04,1424.3699951171875,1424.6318111372566,13.765975440086688,-2.355880400650628,7.530705603797179,1424.239990234375
2000-02-07,1424.239990234375,1408.9956857504167,9.935406278493415,-3.6179680592517,2.329656084484602,1441.719970703125
2000-02-08,1441.719970703125,1397.9229874928112,8.716003354183394,-4.9180991275715025,-0.9698733532420813,1411.7099609375
2000-02-09,1411.7099609375,1391.4137163644102,10.10776666715321,-6.256273605613678,-2.3678827093921093,1416.8299560546875
2000-02-10,1416.8299560546875,1383.6816786220377,10.799870095539687,-7.584254382740703,-4.2754028357878,1387.1199951171875
2000-02-11,1387.1199951171875,1380.5130680088491,7.027718170475838,-2.620555770038622,-1.901812099883042,1389.93994140625
2000-02-14,1389.93994140625,1376.1216907816872,4.451759862179531,0.6572924311179965,-0.6753415622412864,1402.050048828125
2000-02-15,1402.050048828125,1370.5075469405401,3.071995170643556,2.2492902207383305,-0.5959912228591,1387.6700439453125
2000-02-16,1387.6700439453125,1365.2210424261527,1.3717113655091573,4.293010266684894,-0.2092709527328996,1388.260009765625
2000-02-17,1388.260009765625,1370.0495568451943,-10.834265658029617,3.6982193627841755,2.1503667266911117,1346.0899658203125
2000-02-18,1346.0899658203125,1372.1677601095957,-20.225250667751073,3.8104153371148484,3.98136277955719,1352.1700439453125
2000-02-22,1352.1700439453125,1371.575652219364,-26.80124366368152,4.62959818967723,5.283717205870463,1360.68994140625
2000-02-23,1360.68994140625,1371.709770014252,-34.13151149639163,5.259344479156903,6.727720729100949,1353.4300537109375
2000-02-24,1353.4300537109375,1369.1335766545014,-9.444288815754916,1.7867364947867581,-3.0940893409826677,1333.3599853515625
2000-02-25,1333.3599853515625,1367.2836089798766,6.663873138134023,-0.5866489748350797,-9.897233756646953,1348.050048828125
2000-02-28,1348.050048828125,1366.159866990372,14.192974365320289,-1.8608119297152552,-13.68171251791096,1366.4200439453125
2000-02-29,1366.4200439453125,1364.8415334150193,24.020827986021896,-3.4295106697190882,-18.27504030348095,1379.18994140625
2000-03-01,1379.18994140625,1370.0261425268134,12.10792341756597,-2.398021303834306,-4.413100231536204,1381.760009765625
2000-03-02,1381.760009765625,1373.4682933971549,6.020437448742404,-2.0632502410914526,4.503765721873548,1409.1700439453125
2000-03-03,1409.1700439453125,1375.1679860260538,5.7583700795341475,-2.4251974814895916,8.475557556773273,1391.280029296875
2000-03-06,1391.280029296875,1377.334568933587,3.935386500990857,-2.6004596152089268,13.772378008227763,1355.6199951171875
2000-03-07,1355.6199951171875,1377.7586935996833,2.024661608068111,-0.4657249157883018,5.126246354347448,1366.699951171875
2000-03-08,1366.699951171875,1378.649708544415,0.1374469294800328,1.0500479976714652,0.2161174572041462,1401.68994140625
