date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Target
2017-06-21,2435.610107421875,2538.224792690347,-17.743354929317896,100.92911590346726,-2.618647800516162,-14.81959307842748,-3.903925417715297,-0.4449078203687633,0.46744568046213053,0.26426779700346453,0.23670584831619776,-0.10526405925927361,2434.5
2017-06-22,2434.5,2539.1762327292913,-17.748420892721615,101.10371472453055,-2.631198963064497,-14.85697633816696,-3.925114658143828,-0.4459506620158278,0.4687426523732104,0.26490390692243077,0.2374142478840086,-0.10545794413084801,2438.300048828125
2017-06-23,2438.300048828125,2540.0422487270444,-17.776785107309042,101.26436276161992,-2.6298964146350565,-14.872924465323319,-3.9321661711317137,-0.44689177072251995,0.4690525409415218,0.2652631542316411,0.23770208323448258,-0.10561048778462995,2439.070068359375
2017-06-26,2439.070068359375,2540.9311540276485,-17.79890657430674,101.42874890000888,-2.6323059568742853,-14.89461611894498,-3.9430058767701324,-0.4478601386884286,0.46962691769439024,0.26569658665354995,0.2381026084273574,-0.10577410878433346,2419.3798828125
2017-06-27,2419.3798828125,2541.842948631104,-17.814785293714703,101.59687313969744,-2.6384275897821823,-14.922051299031942,-3.9576337750590826,-0.4488557659135536,0.4704657826318157,0.26620420418815727,0.23861582346263305,-0.10594880712995865,2440.68994140625
2017-06-28,2440.68994140625,2542.748610064345,-17.83233675229789,101.76399575816156,-2.6435545709931794,-14.947947505840823,-3.97124663018655,-0.4498440890421853,0.4712337781737816,0.2666919438817266,0.23909884334564224,-0.10612053730968983,2419.699951171875
2017-06-29,2419.699951171875,2543.6771608004383,-17.84364546329134,101.93485647792522,-2.6523936428728447,-14.979587239114998,-3.9886476779645483,-0.4508596714300333,0.4722662619003043,0.2672538686879944,0.23969455307105222,-0.10630334483534261,2423.409912109375
2017-06-30,2423.409912109375,2544.5995783663166,-17.856626913460012,102.10471557646447,-2.66023806305561,-15.009687999111092,-4.005033682581064,-0.4518679497213881,0.47322787623136753,0.26779591565322425,0.24026006764419577,-0.10648318419510142,2429.010009765625
2017-07-03,2429.010009765625,2545.5158627619808,-17.871281102803906,102.27357305377924,-2.6670878315414734,-15.038249785829105,-4.020404644036095,-0.45286892391624956,0.4741186211669711,0.26831808477741603,0.2407953870650728,-0.10666005538896625,2432.5400390625
2017-07-05,2432.5400390625,2546.433790535651,-17.88548708303665,102.44269891469226,-2.6742041161462726,-15.067223939194152,-4.0360475854865285,-0.4538718552378678,0.47502835549985617,0.2688455801530613,0.241338797252615,-0.1068377219004854,2409.75
