date,AdjClose,Approx,D1,D2,D3,D4,D5,D6,D7,D8,Target
2000-01-03,1455.219970703125,1419.3892931309406,31.022415696991853,14.185149023159632,-0.4260393915474238,2.690385069818484,-3.4200707531120913,-0.9616790845959864,-1.5531717022864893,-1.0853115645985574,1399.4200439453125
2000-01-04,1399.4200439453125,1419.1470520705925,31.6159731502932,14.27963837400315,-0.7061509586441771,2.877229498672824,-3.5139796242060344,-0.9691919437870409,-1.5878054465455615,-1.124087036793843,1402.1099853515625
2000-01-05,1402.1099853515625,1418.8960326509982,32.23098552351761,14.372151963873126,-1.001986453509412,3.0728778932578895,-3.6121252972031064,-0.9761425481317612,-1.6239122338662364,-1.1647937058719742,1403.449951171875
2000-01-06,1403.449951171875,1418.6473653856751,32.84024906827497,14.4651949573004,-1.293608734627237,3.266167272335216,-3.709135722551745,-0.983243808208497,-1.6596243204881387,-1.2049829123049214,1441.469970703125
2000-01-07,1441.469970703125,1418.4314594030648,33.369441761807124,14.565611591064563,-1.526548518418545,3.42659980399738,-3.7903341879362986,-0.9924434319385541,-1.6898389355624026,-1.237964793851669,1457.5999755859375
2000-01-10,1457.5999755859375,1418.2067750612084,33.92008937526234,14.664052463855178,-1.7752122299783348,3.59583630139027,-3.875769455223982,-1.001080800822277,-1.7215265936982698,-1.2728778722812621,1438.56005859375
2000-01-11,1438.56005859375,1417.9733123601063,34.49219190864062,14.760517575672246,-2.039599869306606,3.773876764513884,-3.9654415244147962,-1.0091559148596656,-1.754687294895739,-1.3097221475937013,1432.25
2000-01-12,1432.25,1417.742201813275,35.05854561355185,14.857512091046615,-2.299774294887468,3.949558212129759,-4.0539783459571765,-1.01738168462907,-1.787453295394436,-1.3460489602609567,1449.6800537109375
2000-01-13,1449.6800537109375,1417.5023129071976,35.646354238386124,14.952530845447434,-2.575672648236811,4.1340436254763615,-4.1467519694026835,-1.0250451995521401,-1.8216923389547353,-1.384306969811058,1465.1500244140625
2000-01-14,1465.1500244140625,1417.2647761553912,36.22841403475336,15.048079003405551,-2.847357787838744,4.316170023315224,-4.2383903451997575,-1.0328593702072262,-1.8555366818162624,-1.4220475167159754,1455.1400146484375
2000-01-18,1455.1400146484375,1417.0295915578556,36.80472500265352,15.14415656492097,-3.1148297136932683,4.495937405646346,-4.328893473348399,-1.0408241965943277,-1.8889863239790161,-1.4592706009757082,1455.9000244140625
2000-01-19,1455.9000244140625,1416.7937767024828,37.38257636449886,15.240092273180741,-3.3834305667689497,4.6763368842777,-4.419700790187646,-1.0487486548997007,-1.9225417258752586,-1.4966323389333316,1445.5699462890625
2000-01-20,1445.5699462890625,1417.0142676508235,36.845184637658505,15.43872954259968,-2.834689671020803,4.399099514604519,-4.290275915178147,-1.085899548619554,-1.87952722680334,-1.4336089911293388,1441.3599853515625
2000-01-21,1441.3599853515625,1417.112491827558,36.60662139579586,15.609848011644605,-2.504954836810243,4.24448556886126,-4.2198620781218565,-1.115219242572457,-1.8570295708603717,-1.3974837459873002,1401.530029296875
2000-01-24,1401.530029296875,1417.088449232685,36.66688663891095,15.753447680315515,-2.394226064137269,4.212495047047929,-4.208459279018772,-1.1367077367584093,-1.8550487580463524,-1.3882566035072155,1410.030029296875
2000-01-25,1410.030029296875,1417.0971679205259,36.64708103080084,15.904420989323317,-2.2248147941377785,4.147647677819434,-4.181244519951605,-1.160294594597683,-1.8475704736846954,-1.3718221361409308,1404.0899658203125
2000-01-26,1404.0899658203125,1416.9836198367593,36.926103907668455,16.0278754979571,-2.2744095856758735,4.205423732520863,-4.213040798837644,-1.1760502526700063,-1.860609032451988,-1.3822857714366004,1398.56005859375
2000-01-27,1398.56005859375,1416.9028330357064,37.125055933310875,16.158703646927776,-2.2653218798874524,4.230342939807131,-4.229025117759599,-1.1939042743956507,-1.8681501196716424,-1.3855420818460698,1360.1600341796875
2000-01-28,1360.1600341796875,1416.8548075173665,37.2439371077281,16.296905436235342,-2.1975516767725134,4.222405299678236,-4.22919747671747,-1.2138566597746163,-1.8701937353436588,-1.3815910673693392,1394.4599609375
2000-01-31,1394.4599609375,1416.7980036397807,37.3842732020684,16.433131464569367,-2.1455054014260564,4.223271625280066,-4.233606637578471,-1.2332467903072477,-1.8737103940772784,-1.3795712497754544,1409.280029296875
2000-02-01,1409.280029296875,1416.618932990588,37.8234377813864,16.541838692529367,-2.312465187617186,4.34676137481182,-4.297026836392679,-1.2448057210729284,-1.8977438959398467,-1.404449534843524,1409.1199951171875
2000-02-02,1409.1199951171875,1416.472623624109,38.18253150947921,16.65791956082626,-2.4207424764817977,4.437394276928411,-4.344635075242804,-1.2584630154919305,-1.9162799262547772,-1.4221204950253932,1424.969970703125
2000-02-03,1424.969970703125,1416.3590755403427,38.461554386346826,16.781374069460043,-2.470337268019893,4.495170331629842,-4.376431354128843,-1.2742186735642538,-1.92931848502207,-1.4325841303210627,1424.3699951171875
2000-02-04,1424.3699951171875,1416.2367490973306,38.76203218313751,16.902852817120284,-2.5356559873264706,4.5617503520619955,-4.412464434918013,-1.2894120767902428,-1.9438300868509653,-1.4449789624995781,1424.239990234375
2000-02-07,1424.239990234375,1416.1471839370315,38.98243912870299,17.03170520511741,-2.54229220930653,4.595473525078988,-4.432685555743097,-1.306703843669553,-1.9528442171322222,-1.4501664697918937,1441.719970703125
2000-02-08,1441.719970703125,1416.0488404174866,39.224300994191545,17.15858183214099,-2.564652359055072,4.638000663826707,-4.457143478471312,-1.323433355702529,-1.9633313904750822,-1.4572851739670554,1411.7099609375
