Date,A0,D1,D2
2000-01-03,2871.1718084403565,-152.0663022377264,-152.0330788709282
2000-01-04,2841.995799262112,-152.0663022377264,-152.0330788709282
2000-01-05,2863.580675406119,-152.0663022377264,-152.0330788709282
2000-01-06,2903.6156218872593,-152.0663022377264,-152.0330788709282
2000-01-07,2887.603929771011,-152.0663022377264,-152.0330788709282
2000-01-10,2791.6830177217435,-152.0663022377264,-152.0330788709282
2000-01-11,2802.2693213944394,-152.0663022377264,-152.0330788709282
2000-01-12,2860.7433407466256,-152.0663022377264,-152.0330788709282
2000-01-13,2804.423866234559,-152.0663022377264,-152.0330788709282
2000-01-14,2748.529559678141,-152.0663022377264,-152.0330788709282
2000-01-18,2690.9603593753586,-152.0663022377264,-152.0330788709282
2000-01-19,2759.0365197384444,-152.0663022377264,-152.0330788709282
2000-01-20,2761.785314370339,-152.0663022377264,-152.0330788709282
2000-01-21,2756.6877011146353,-152.0663022377264,-152.0330788709282
2000-01-24,2905.795055043482,-152.0663022377264,-152.0330788709282
2000-01-25,3039.7021829496316,-152.0663022377264,-152.0330788709282
2000-01-26,3007.4410304481244,-152.0663022377264,-152.0330788709282
2000-01-27,2992.844803833802,-152.0663022377264,-152.0330788709282
2000-01-28,3010.920553803794,-152.0663022377264,-152.0330788709282
2000-01-31,2819.4353396595043,-152.0663022377264,-152.0330788709282
2000-02-01,2876.065214022108,-152.0663022377264,-152.0330788709282
2000-02-02,2931.1840199003905,-152.0663022377264,-152.0330788709282
2000-02-03,2862.3226544943836,-152.0663022377264,-152.0330788709282
2000-02-04,2806.2941943701,-152.0663022377264,-152.0330788709282
2000-02-07,2896.8403029181814,-152.0663022377264,-152.0330788709282
2000-02-08,2825.332598178978,-152.0663022377264,-152.0330788709282
2000-02-09,2766.121476828952,-152.0663022377264,-152.0330788709282
2000-02-10,2902.1613634298865,-152.0663022377264,-152.0330788709282
2000-02-11,2923.748002116606,-152.0663022377264,-152.0330788709282
2000-02-14,2927.8839253351343,-152.0663022377264,-152.0330788709282
2000-02-15,2955.74988471589,-152.0663022377264,-152.0330788709282
2000-02-16,2906.0714733249183,-152.0663022377264,-152.0330788709282
2000-02-17,2902.3143710533736,-152.0663022377264,-152.0330788709282
2000-02-18,2927.347674467109,-152.0663022377264,-152.0330788709282
2000-02-22,2986.4434560598593,-152.0663022377264,-152.0330788709282
2000-02-23,2993.4613044764824,-152.0663022377264,-152.0330788709282
2000-02-24,2949.5821564904686,-152.0663022377264,-152.0330788709282
2000-02-25,2866.2482494465,-152.0663022377264,-152.0330788709282
2000-02-28,2911.8561871057655,-152.0663022377264,-152.0330788709282
2000-02-29,2942.9334898754264,-152.0663022377264,-152.0330788709282
2000-03-01,2967.615702320115,-152.0663022377264,-152.0330788709282
2000-03-02,2994.449141275403,-152.0663022377264,-152.0330788709282
2000-03-03,3016.745508945811,-152.0663022377264,-152.0330788709282
2000-03-06,3027.848064577699,-152.0663022377264,-152.0330788709282
2000-03-07,2994.570815285733,-152.0663022377264,-152.0330788709282
2000-03-08,2963.5785134604703,-152.0663022377264,-152.0330788709282
2000-03-09,2911.093742723911,-152.0663022377264,-152.0330788709282
2000-03-10,2875.3217526719936,-152.0663022377264,-152.0330788709282
2000-03-13,2880.127940084285,-152.0663022377264,-152.0330788709282
2000-03-14,2854.319527553508,-152.0663022377264,-152.0330788709282
2000-03-15,2731.52263914065,-152.0663022377264,-152.0330788709282
2000-03-16,2718.3783001077463,-152.0663022377264,-152.0330788709282
2000-03-17,2779.522458270912,-152.0663022377264,-152.0330788709282
2000-03-20,2772.098198204171,-152.0663022377264,-152.0330788709282
2000-03-21,2859.029676432533,-152.0663022377264,-152.0330788709282
2000-03-22,2813.173078726527,-152.0663022377264,-152.0330788709282
2000-03-23,2755.6082713924093,-152.0663022377264,-152.0330788709282
2000-03-24,2699.638141073291,-152.0663022377264,-152.0330788709282
2000-03-27,2678.7881469749764,-152.0663022377264,-152.0330788709282
2000-03-28,2654.9880044345423,-152.0663022377264,-152.0330788709282
2000-03-29,2728.525452778186,-152.0663022377264,-152.0330788709282
2000-03-30,2715.273060062629,-152.0663022377264,-152.0330788709282
2000-03-31,2580.6475281299017,-152.0663022377264,-152.0330788709282
2000-04-03,2627.1607155359766,-152.0663022377264,-152.0330788709282
2000-04-04,2647.648001961158,-152.0663022377264,-152.0330788709282
2000-04-05,2607.612299167271,-152.0663022377264,-152.0330788709282
2000-04-06,2645.848308821688,-152.0663022377264,-152.0330788709282
2000-04-07,2689.4691547491984,-152.0663022377264,-152.0330788709282
2000-04-10,2717.945789751455,-152.0663022377264,-152.0330788709282
2000-04-11,2737.3741214033835,-152.0663022377264,-152.0330788709282
2000-04-12,2694.131196549914,-152.0663022377264,-152.0330788709282
2000-04-13,2651.2544308461947,-152.0663022377264,-152.0330788709282
2000-04-14,2590.1774166282084,-152.0663022377264,-152.0330788709282
2000-04-17,2515.6382013785224,-152.0663022377264,-152.0330788709282
2000-04-18,2478.11673992925,-152.0663022377264,-152.0330788709282
2000-04-19,2517.202861488642,-152.0663022377264,-152.0330788709282
2000-04-20,2374.7387273527543,-152.0663022377264,-152.0330788709282
2000-04-24,2299.735323317949,-152.0663022377264,-152.0330788709282
2000-04-25,2284.681159716754,-152.0663022377264,-152.0330788709282
2000-04-26,2310.4871195004507,-152.0663022377264,-152.0330788709282
