Date,A0,D1,D2,D3
2000-01-03,4050.13483443069,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-04,4030.143859715012,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-05,4097.893420269379,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-06,3987.7980202471135,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-07,4019.359115191309,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-10,3899.73917308204,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-11,3869.9086895300343,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-12,3897.8038223852473,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-13,4232.948527668303,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-14,4266.063552266879,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-18,4077.9958481583567,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-19,4119.4269355910255,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-20,4013.5905822667746,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-21,4006.945064352827,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-24,4040.0835086594125,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-25,4147.724381659577,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-26,4130.2030466201495,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-27,4132.494849647918,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-28,4236.631553472143,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-01-31,4094.0332732147845,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-01,4145.793020583101,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-02,4222.506486955267,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-03,4277.5198756701475,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-04,4205.758185017243,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-07,4087.390728701786,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-08,4039.1498130984432,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-09,3857.468909698489,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-10,3938.0941875076014,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-11,4002.364260748549,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-14,3846.0011243319595,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-15,3774.8961378356694,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-16,3827.603490250358,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-17,3700.02402080944,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-18,3705.033749048396,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-22,3782.6000076631153,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-23,3863.300515720808,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-24,3774.0078543652708,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-25,3585.0366515322266,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-28,3537.195187032349,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-02-29,3283.7750633428695,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-01,3241.452984350108,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-02,3242.6308500447776,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-03,3454.27663493164,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-06,3551.6648604444263,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-07,3578.6551926499137,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-08,3629.082907369768,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-09,3588.1739969049454,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-10,3460.885948490057,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-13,3464.0156006133648,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-14,3403.8083840596473,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-15,3388.6159783685125,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-16,3421.021911453809,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-17,3344.528858317328,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-20,3307.440174136423,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-21,3123.9022985890206,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-22,2840.4279267295324,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-23,3000.004338646237,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-24,3067.517338324266,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-27,3052.5397205715262,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-28,3138.4492471038293,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-29,3231.372665238734,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-30,3244.2893472411984,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-03-31,3215.6080676886213,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-03,3247.638456418963,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-04,3285.0193826398745,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-05,3207.6557480138126,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-06,3158.2781505038283,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-07,3115.963455555443,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-10,3101.724213644747,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-11,3255.9310056466834,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-12,3281.50038581377,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-13,3229.287560931514,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-14,3166.576343314923,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-17,3137.882630139523,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-18,3026.053509141815,-385.3130543379456,-152.0663022377264,-152.0330788709282
2000-04-19,3073.0308908082225,-385.3130543379456,-152.0663022377264,-152.0330788709282
