Date,A0,D1,D2,D3
2000-01-03,4050.134834430639,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-04,4030.1438597150345,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-05,4097.89342026932,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-06,3987.7980202471576,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-07,4019.3591151912515,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-10,3899.739173082058,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-11,3869.9086895300115,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-12,3897.8038223853737,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-13,4232.948527668261,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-14,4266.063552266814,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-18,4077.9958481584135,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-19,4119.426935590963,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-20,4013.5905822667987,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-21,4006.945064352866,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-24,4040.0835086594093,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-25,4147.724381659565,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-26,4130.203046620163,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-27,4132.494849647938,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-28,4236.6315534720925,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-01-31,4094.0332732148204,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-01,4145.793020583118,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-02,4222.506486955282,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-03,4277.519875670121,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-04,4205.75818501721,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-07,4087.390728701789,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-08,4039.1498130983823,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-09,3857.468909698525,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-10,3938.0941875076073,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-11,4002.3642607485144,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-14,3846.0011243319464,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-15,3774.896137835691,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-16,3827.603490250328,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-17,3700.0240208094324,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-18,3705.033749048428,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-22,3782.60000766313,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-23,3863.3005157207763,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-24,3774.007854365224,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-25,3585.0366515322407,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-28,3537.195187032258,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-02-29,3283.775063342894,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-01,3241.452984350105,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-02,3242.6308500448213,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-03,3454.276634931666,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-06,3551.6648604444244,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-07,3578.6551926499155,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-08,3629.082907369775,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-09,3588.1739969049027,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-10,3460.885948490072,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-13,3464.015600613341,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-14,3403.8083840596373,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-15,3388.6159783685307,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-16,3421.0219114537877,-385.31305433731643,-152.0663022375419,-152.0330788708203
2000-03-17,3344.5288583173246,-385.31305433731643,-152.0663022375419,-152.0330788708203
