Date,A0,D1,D2
2000-01-03,2871.1718084403146,-152.0663022375419,-152.0330788708203
2000-01-04,2841.9957992621353,-152.0663022375419,-152.0330788708203
2000-01-05,2863.5806754061186,-152.0663022375419,-152.0330788708203
2000-01-06,2903.615621887246,-152.0663022375419,-152.0330788708203
2000-01-07,2887.6039297709935,-152.0663022375419,-152.0330788708203
2000-01-10,2791.683017721757,-152.0663022375419,-152.0330788708203
2000-01-11,2802.2693213944453,-152.0663022375419,-152.0330788708203
2000-01-12,2860.7433407466046,-152.0663022375419,-152.0330788708203
2000-01-13,2804.4238662345383,-152.0663022375419,-152.0330788708203
2000-01-14,2748.5295596781393,-152.0663022375419,-152.0330788708203
2000-01-18,2690.9603593753855,-152.0663022375419,-152.0330788708203
2000-01-19,2759.0365197384267,-152.0663022375419,-152.0330788708203
2000-01-20,2761.7853143703323,-152.0663022375419,-152.0330788708203
2000-01-21,2756.687701114692,-152.0663022375419,-152.0330788708203
2000-01-24,2905.7950550435053,-152.0663022375419,-152.0330788708203
2000-01-25,3039.702182949607,-152.0663022375419,-152.0330788708203
2000-01-26,3007.441030448126,-152.0663022375419,-152.0330788708203
2000-01-27,2992.8448038338115,-152.0663022375419,-152.0330788708203
2000-01-28,3010.920553803743,-152.0663022375419,-152.0330788708203
2000-01-31,2819.435339659526,-152.0663022375419,-152.0330788708203
2000-02-01,2876.0652140221164,-152.0663022375419,-152.0330788708203
2000-02-02,2931.1840199003686,-152.0663022375419,-152.0330788708203
2000-02-03,2862.3226544943745,-152.0663022375419,-152.0330788708203
2000-02-04,2806.2941943701444,-152.0663022375419,-152.0330788708203
2000-02-07,2896.840302918141,-152.0663022375419,-152.0330788708203
2000-02-08,2825.3325981789794,-152.0663022375419,-152.0330788708203
2000-02-09,2766.1214768289938,-152.0663022375419,-152.0330788708203
2000-02-10,2902.1613634298765,-152.0663022375419,-152.0330788708203
2000-02-11,2923.7480021166116,-152.0663022375419,-152.0330788708203
2000-02-14,2927.883925335136,-152.0663022375419,-152.0330788708203
2000-02-15,2955.7498847158745,-152.0663022375419,-152.0330788708203
2000-02-16,2906.071473324925,-152.0663022375419,-152.0330788708203
2000-02-17,2902.3143710533795,-152.0663022375419,-152.0330788708203
2000-02-18,2927.3476744671198,-152.0663022375419,-152.0330788708203
2000-02-22,2986.4434560598506,-152.0663022375419,-152.0330788708203
2000-02-23,2993.4613044764774,-152.0663022375419,-152.0330788708203
2000-02-24,2949.5821564904522,-152.0663022375419,-152.0330788708203
2000-02-25,2866.248249446518,-152.0663022375419,-152.0330788708203
2000-02-28,2911.8561871057595,-152.0663022375419,-152.0330788708203
2000-02-29,2942.9334898754396,-152.0663022375419,-152.0330788708203
2000-03-01,2967.61570232012,-152.0663022375419,-152.0330788708203
2000-03-02,2994.4491412754096,-152.0663022375419,-152.0330788708203
2000-03-03,3016.7455089458144,-152.0663022375419,-152.0330788708203
2000-03-06,3027.8480645776863,-152.0663022375419,-152.0330788708203
2000-03-07,2994.570815285729,-152.0663022375419,-152.0330788708203
2000-03-08,2963.578513460456,-152.0663022375419,-152.0330788708203
2000-03-09,2911.093742723899,-152.0663022375419,-152.0330788708203
